E08202 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E08202;
Adres;Galjoolstraat 98;
Status;Actief;
Straathoogte;1,93;m + NAP
Bovenkant buis;1,87;m + NAP
Top filter;-0,49;m + NAP
Bodem filter;-1,49;m + NAP
Diameter filter;60;mm
x-coördinaat;127809;
y-coördinaat;486310;
;;
;;
datum;meting NAP;
2021-12-20 12:14;-0,16;
2021-10-20 10:30;-0,11;
2021-08-24 08:23;0,00;
2021-07-01 08:05;0,11;
2021-04-08 13:15;-0,08;
2021-03-04 08:51;-0,19;
2020-12-17 08:27;-0,26;
2020-10-27 10:16;-0,09;
2020-09-08 07:54;0,03;
2020-07-17 10:35;-0,08;
2020-05-27 08:58;-0,12;
2020-04-09 07:09;-0,06;
2019-12-17 09:31;-0,04;
2019-10-14 06:53;0,18;
2019-08-22 07:36;-0,12;
2019-06-18 10:20;0,14;
2019-04-09 11:35;0,01;
2019-02-28 09:38;-0,15;
2018-12-18 12:32;-0,14;
2018-10-22 12:33;-0,28;
2018-08-13 09:29;-0,14;
2018-06-15 10:55;-0,08;
2018-04-20 06:54;-0,11;
2018-02-15 11:29;-0,04;
2017-12-14 09:44;0,26;
2017-10-23 08:17;-0,06;
2017-08-25 07:27;-0,03;
2017-07-25 11:04;0,04;
2017-03-08 08:47;-0,11;
2017-01-12 10:49;-0,29;
2016-10-27 08:03;-0,22;
2016-09-14 08:59;-0,13;
2016-06-22 09:12;0,07;
2016-05-17 09:03;-0,13;
2016-02-15 10:06;-0,05;
2015-12-16 11:18;-0,04;
2015-10-08 10:42;-0,10;
2015-08-24 08:26;0,04;
2015-07-07 08:40;-0,13;
2015-05-27 10:21;-0,23;
2015-04-02 11:19;-0,16;
2015-02-20 09:56;-0,21;
2014-11-24 13:30;-0,31;
2014-10-02 08:02;-0,17;
2014-08-20 07:46;0,04;
2014-04-29 08:02;-0,15;
2014-02-12 13:57;-0,18;
2013-12-05 13:10;-0,11;
2013-10-10 11:51;-0,17;
2013-08-22 12:21;-0,17;
2013-06-14 12:07;-0,12;
2013-05-16 13:15;-0,18;
2012-12-05 10:08;-0,17;
2012-11-07 11:27;-0,16;
2012-10-04 09:50;-0,07;
2012-09-12 11:17;-0,04;
2012-04-26 10:16;-0,14;
2012-01-31 09:16;-0,03;
2011-12-21 12:55;-0,11;
2011-11-28 10:00;-0,26;
