E08203 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E08203;
Adres;Edmond Halleylaan 54;
Status;Actief;
Straathoogte;1,34;m + NAP
Bovenkant buis;1,29;m + NAP
Top filter;-1,01;m + NAP
Bodem filter;-2,01;m + NAP
Diameter filter;60;mm
x-coördinaat;127337;
y-coördinaat;485856;
;;
;;
datum;meting NAP;
2021-12-20 12:10;-0,07;
2021-10-20 10:23;-0,06;
2021-08-24 08:16;-0,01;
2021-07-01 08:33;0,09;
2021-04-08 13:01;-0,02;
2021-03-04 09:21;-0,07;
2020-12-17 08:24;-0,18;
2020-10-27 10:26;-0,11;
2020-09-08 07:48;0,03;
2020-07-17 11:11;-0,08;
2020-05-27 09:21;-0,06;
2020-04-09 07:02;0,00;
2019-12-17 08:57;-0,07;
2019-10-14 06:54;0,13;
2019-08-22 06:56;-0,05;
2019-06-18 10:00;0,10;
2019-04-09 11:30;0,03;
2019-02-28 09:34;-0,17;
2018-12-18 12:19;-0,12;
2018-10-22 12:39;-0,23;
2018-08-13 09:18;-0,17;
2018-06-15 10:37;-0,08;
2018-04-20 06:47;-0,05;
2018-02-15 11:51;0,00;
2017-12-14 09:21;0,13;
2017-10-23 08:11;-0,12;
2017-08-25 07:10;-0,05;
2017-07-25 11:14;-0,08;
2017-03-08 09:38;-0,11;
2017-01-12 10:11;-0,28;
2016-10-27 08:29;-0,19;
2016-09-14 08:53;-0,08;
2016-06-22 08:53;0,04;
2016-05-17 08:29;-0,06;
2016-02-15 10:49;-0,05;
2015-12-16 09:58;-0,02;
2015-10-08 10:35;-0,07;
2015-08-24 08:19;0,05;
2015-07-07 08:32;-0,25;
2015-05-27 09:56;-0,16;
2015-04-02 11:12;-0,17;
2015-02-20 08:56;-0,16;
2014-11-24 13:44;-0,25;
2014-10-02 07:54;-0,14;
2014-08-20 07:38;0,02;
2014-06-16 07:39;-0,06;
2014-04-29 07:57;-0,12;
2014-02-11 14:11;-0,16;
2013-12-05 13:04;-0,12;
2013-10-10 11:25;-0,18;
2013-08-22 12:16;-0,18;
2013-06-14 11:55;-0,08;
2013-05-16 13:51;-0,17;
2013-03-26 13:02;-0,13;
2012-12-05 10:25;-0,15;
2012-11-07 10:57;-0,13;
2012-10-04 09:57;-0,10;
2012-09-12 11:09;-0,08;
2012-05-22 07:16;-0,09;
2012-04-26 09:51;-0,15;
2012-01-31 09:59;-0,01;
2011-12-21 13:05;-0,08;
2011-11-28 10:00;-0,29;
