D06431 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06431;
Adres;Raamgracht 4-6;
Status;Actief;
Straathoogte;0,74;m + NAP
Bovenkant buis;0,63;m + NAP
Top filter;-1,32;m + NAP
Bodem filter;-2,32;m + NAP
Diameter filter;51;mm
x-coördinaat;121707;
y-coördinaat;486988;
;;
;;
datum;meting NAP;
2021-10-01 09:23;-,47;
2021-10-01 08:23;-,47;
2021-07-26 09:22;-,48;
2021-05-21 09:35;-,44;
2021-01-20 09:17;-,4;
2020-11-17 12:01;-,49;
2020-09-30 10:25;-,44;
2020-07-10 08:31;-,42;
2020-05-07 08:46;-,55;
2020-04-09 11:20;-,62;
2020-02-19 13:53;-,93;
2019-11-26 10:32;-,48;
2019-09-23 09:08;-,49;
2019-08-09 07:41;-,48;
2019-06-05 09:35;-,46;
2019-03-20 11:21;-,5;
2019-01-30 10:21;-,45;
2018-12-14 10:56;-,49;
2018-10-05 09:14;-,5;
2018-07-18 08:49;-,48;
2018-05-28 12:00;-,5;
2018-04-04 10:27;-,44;
2018-01-31 12:08;-,43;
2017-11-22 10:53;-,4;
2017-10-09 09:35;-,47;
2017-08-14 10:55;-,47;
2017-07-04 10:33;-,47;
2017-04-07 08:52;-,47;
2017-02-27 09:56;-,46;
2016-12-20 14:46;-,66;
2016-08-18 10:34;-,79;
2016-06-24 17:46;-,6;
2016-04-14 10:47;-,47;
2016-02-09 10:26;-,46;
2015-12-29 11:18;-,53;
2015-10-05 09:57;-,5;
2015-07-31 08:01;-,5;
2015-06-19 08:39;-,51;
2015-05-12 08:07;-,52;
2015-03-20 10:04;-,52;
2015-02-10 12:33;-,5;
2014-11-12 11:27;-,51;
2014-09-16 06:40;-,51;
2014-07-11 07:46;-,47;
2014-05-19 09:41;-,5;
2014-03-25 11:43;-,63;
2014-01-16 10:48;-,46;
2013-11-21 10:59;-,51;
2013-09-26 07:53;-,51;
2013-07-10 07:44;-,52;
2013-05-31 06:39;-,49;
2013-04-19 05:51;-,5;
2013-02-21 11:44;-,53;
2012-10-31 11:07;-,45;
2012-10-11 08:54;-,49;
2012-06-13 09:34;-,53;
2012-05-09 06:16;-,52;
2012-03-28 09:13;-,52;
2012-01-20 11:03;-,48;
2011-12-16 08:30;-,38;
2011-11-15 08:57;-,53;
2011-08-15 10:10;-,49;
2011-05-11 08:09;-,47;
2011-03-18 10:01;-,47;
2011-01-28 10:38;-,46;
2010-12-13 11:08;-,46;
2010-10-26 11:29;-,42;
2010-09-28 08:51;-,46;
2010-06-30 09:37;-,46;
2010-05-26 07:48;-,39;
2010-03-30 08:04;-,39;
2010-01-20 10:07;-,38;
2009-10-14 11:23;-,43;
2009-08-31 08:44;-,42;
2009-06-03 09:19;-,42;
2009-04-27 06:59;-,35;
2009-03-04 07:51;-,35;
2009-02-10 08:20;-,37;
2008-11-05 12:00;-,47;
2008-08-08 12:00;-1,83;
2008-07-09 12:00;-,42;
2008-04-21 12:00;-,44;
2008-03-06 12:00;-,42;
2007-11-29 12:00;-,4;
2007-10-04 12:00;-,41;
2007-08-01 12:00;-,42;
2007-06-19 12:00;-,41;
2007-04-17 12:00;-,42;
2007-03-08 12:00;-,41;
2007-01-24 12:00;-,39;
2006-12-20 12:00;-,57;
2006-11-08 12:00;-,42;
2006-10-03 12:00;-,41;
2006-08-03 12:00;-,42;
