D06651 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06651;
Adres;Jodenbreestraat 4;
Status;Actief;
Straathoogte;2,92;m + NAP
Bovenkant buis;2,88;m + NAP
Top filter;-0,76;m + NAP
Bodem filter;-1,76;m + NAP
Diameter filter;51;mm
x-coördinaat;121912;
y-coördinaat;486955;
;;
;;
datum;meting NAP;
2021-12-10 10:47;,32;
2021-10-01 09:08;,07;
2021-10-01 08:08;,07;
2021-07-26 09:10;,18;
2021-05-20 08:38;,18;
2021-03-24 11:45;,18;
2021-01-20 09:09;,31;
2020-11-17 11:30;,24;
2020-09-30 10:04;,23;
2020-07-10 08:50;,2;
2020-05-07 08:31;,08;
2020-04-09 09:56;,02;
2020-02-19 12:39;,21;
2019-11-26 11:18;,16;
2019-09-23 08:16;,08;
2019-08-08 10:18;,04;
2019-06-05 09:24;,04;
2019-03-20 11:09;,24;
2019-01-30 11:59;,16;
2018-12-14 10:21;,15;
2018-10-05 11:02;,15;
2018-07-18 08:22;,04;
2018-05-28 09:52;,18;
2018-04-04 07:25;,18;
2018-01-31 10:08;,27;
2017-11-22 10:17;,24;
2017-10-09 08:56;,33;
2017-08-14 07:30;,31;
2017-07-04 09:32;,19;
2017-04-07 08:13;,22;
2017-02-27 11:47;,58;
2016-12-20 15:52;,38;
2016-10-10 08:58;,14;
2016-08-19 08:31;,25;
2016-06-24 08:02;,4;
2016-04-14 07:40;,3;
2016-02-09 10:08;,46;
2015-12-29 12:15;,35;
2015-10-05 13:01;,39;
2015-07-31 08:27;,25;
2015-06-19 07:38;,15;
2015-05-12 08:49;,2;
2015-03-20 09:56;,25;
2015-02-10 13:16;,34;
2014-11-12 10:31;,2;
2014-09-15 10:50;,28;
2014-07-10 10:33;,2;
2014-05-20 08:22;,24;
2014-03-25 14:25;,22;
2014-01-16 08:09;,4;
2013-11-21 12:03;,42;
2013-09-26 07:28;,32;
2013-07-10 06:14;,29;
2013-05-31 08:55;,48;
2013-04-19 05:31;,2;
2013-02-21 12:36;,36;
2012-11-08 10:25;,31;
2012-07-25 05:10;,41;
2012-06-13 10:35;,24;
2012-05-09 08:31;,19;
2012-03-28 11:53;,16;
2012-01-20 10:09;,27;
2011-12-16 10:25;,19;
2011-11-15 11:31;,16;
2011-08-15 07:28;,31;
2011-06-24 08:16;,07;
2011-05-13 08:16;,07;
2011-03-18 09:34;,17;
2011-01-28 08:50;,13;
2010-12-13 10:04;,11;
2010-10-26 11:51;,22;
2010-09-28 07:13;,32;
2010-06-30 08:30;,12;
2010-05-26 09:50;,15;
2010-03-30 06:40;,24;
2010-01-20 13:00;,17;
2009-10-14 08:20;,02;
2009-08-31 06:48;,15;
2009-06-03 11:05;,13;
2009-04-27 09:05;,16;
2009-03-04 09:57;,23;
2009-02-10 13:08;,23;
2008-11-06 12:00;,15;
2008-09-19 12:00;,18;
2008-08-11 12:00;,24;
2008-07-09 12:00;,06;
2008-04-21 12:00;,24;
2008-03-06 12:00;,15;
2008-02-06 12:00;,29;
2007-11-29 12:00;,11;
2007-10-04 12:00;,17;
2007-08-01 12:00;,36;
2007-06-19 12:00;,22;
2007-04-17 12:00;,2;
2007-03-08 12:00;,3;
2007-01-24 12:00;,35;
2006-12-19 12:00;,32;
2006-11-08 12:00;,23;
2006-08-03 12:00;,17;
2006-06-30 12:00;,33;
2006-04-24 12:00;,21;
2006-03-01 12:00;,18;
2006-01-23 12:00;,14;
2005-12-15 12:00;,28;
2005-11-10 12:00;,23;
2005-09-15 12:00;,25;
2005-07-06 12:00;,29;
2005-05-18 12:00;,16;
2005-04-01 12:00;,18;
2005-02-01 12:00;,17;
2004-12-01 12:00;,28;
2004-10-19 12:00;,27;
2004-09-16 12:00;,28;
2004-07-07 12:00;,2;
2004-05-10 12:00;,15;
2004-03-18 12:00;,13;
2004-02-02 12:00;,33;
2003-11-24 12:00;,1;
2003-10-20 12:00;,08;
2003-09-03 12:00;,04;
2003-07-03 12:00;,2;
2003-04-24 12:00;,08;
2003-03-11 12:00;,15;
2003-02-04 12:00;,28;
2002-11-25 12:00;,29;
2002-10-02 12:00;,11;
2002-07-29 12:00;,26;
2002-05-30 12:00;,21;
2002-03-14 12:00;,35;
2002-01-31 12:00;,23;
2001-11-30 12:00;,22;
2001-08-07 12:00;,18;
2001-05-29 12:00;,2;
2001-03-27 12:00;,25;
2001-02-06 12:00;,32;
2000-11-27 12:00;,41;
2000-09-27 12:00;,21;
2000-07-26 12:00;,31;
2000-05-30 12:00;,25;
2000-04-12 12:00;,26;
2000-03-31 12:00;,27;
2000-01-31 12:00;,22;
