D06388 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06388;
Adres;Jodenbreestraat hk Houtkopersdwarsstraat;
Status;Actief;
Straathoogte;2,14;m + NAP
Bovenkant buis;2,03;m + NAP
Top filter;-0,45;m + NAP
Bodem filter;-1,45;m + NAP
Diameter filter;51;mm
x-coördinaat;121973;
y-coördinaat;486907;
;;
;;
datum;meting NAP;
2021-12-10 11:05;-,01;
2021-10-01 08:40;-,03;
2021-10-01 07:40;-,03;
2021-07-26 09:05;,09;
2021-05-20 08:35;-,02;
2021-03-24 11:44;-,18;
2021-01-20 09:06;-,09;
2020-11-17 11:24;-,21;
2020-09-30 09:57;-,06;
2020-07-10 07:31;-,02;
2020-05-07 08:29;-,01;
2020-04-09 08:42;,04;
2020-02-19 11:21;-,14;
2019-11-26 11:21;-,12;
2019-09-23 08:19;-,08;
2019-08-08 10:15;-,01;
2019-06-05 08:14;,01;
2019-03-20 10:45;-,22;
2019-01-30 11:53;-,2;
2018-12-14 10:24;-,26;
2018-10-05 11:06;-,09;
2018-07-18 06:40;,06;
2018-05-28 09:35;,16;
2018-04-04 07:32;,1;
2018-01-31 10:49;,24;
2017-11-22 10:20;,13;
2017-10-09 08:53;,14;
2017-08-14 07:26;,07;
2017-07-04 09:30;,06;
2017-04-07 08:10;-,03;
2017-02-27 12:25;,27;
2016-12-20 13:34;,17;
2016-10-10 08:54;,05;
2016-08-19 08:20;,15;
2016-06-24 08:06;,19;
2016-04-14 09:45;,16;
2016-02-09 08:35;,25;
2015-12-29 10:46;,24;
2015-10-05 13:03;,2;
2015-07-31 08:42;,14;
2015-06-19 08:00;,14;
2015-05-12 08:46;,16;
2015-03-20 09:53;,03;
2015-02-10 13:21;,04;
2014-11-12 10:43;,04;
2014-09-15 10:48;,13;
2014-07-10 10:06;,13;
2014-05-20 08:26;,14;
2014-03-25 14:30;,12;
2014-01-16 08:07;,24;
2013-11-21 12:01;,2;
2013-09-26 07:26;,16;
2013-07-10 06:13;,26;
2013-05-31 08:59;,23;
2013-04-19 05:30;,06;
2013-02-21 12:33;,13;
2012-11-08 10:21;,12;
2012-07-25 05:12;,18;
2012-06-13 09:12;,18;
2012-05-09 08:29;,15;
2012-03-28 10:38;-,01;
2012-01-20 08:31;,15;
2011-12-16 10:28;,2;
2011-11-15 11:33;,09;
2011-08-15 07:29;,14;
2011-06-24 06:25;,11;
2011-05-13 08:17;,09;
2011-03-18 08:36;,02;
2011-01-28 12:16;-,09;
2010-12-13 09:09;-,07;
2010-09-28 07:13;,18;
2010-06-30 07:58;,15;
2010-05-26 09:51;,07;
2010-03-30 06:47;-,18;
2010-01-20 13:03;-,21;
2009-10-14 08:26;-,08;
2009-08-31 07:31;,07;
2009-06-03 11:02;,11;
2009-04-27 10:01;-,03;
2009-03-04 09:59;-,18;
2009-02-10 11:13;-,2;
2008-11-06 12:00;-,33;
2008-08-11 12:00;,03;
2008-07-09 12:00;0;
2008-04-21 12:00;,24;
2008-03-06 12:00;-,09;
2008-02-06 12:00;,98;
2007-11-29 12:00;-,07;
2007-10-04 12:00;,05;
2007-08-02 12:00;,25;
2007-06-19 12:00;,21;
2007-03-09 12:00;,21;
2007-01-24 12:00;,24;
2006-12-19 12:00;,18;
2006-10-02 12:00;,08;
2006-08-03 12:00;,14;
2006-06-30 12:00;,11;
2006-04-24 12:00;-,01;
2006-03-01 12:00;-,17;
2006-01-23 12:00;-,23;
2005-12-15 12:00;-,09;
2005-11-10 12:00;-,03;
2005-07-06 12:00;,15;
2005-05-18 12:00;,04;
2005-04-01 12:00;-,49;
2005-02-01 12:00;-,51;
2004-12-01 12:00;-,02;
2004-10-19 12:00;-,02;
2004-09-16 12:00;,07;
2004-07-07 12:00;,15;
2004-05-10 12:00;,08;
2004-03-18 12:00;-,11;
2004-02-02 12:00;-,08;
2003-11-24 12:00;-,21;
2003-10-20 12:00;-,09;
2003-09-03 12:00;,02;
2003-07-03 12:00;,2;
2003-04-24 12:00;,13;
2003-03-11 12:00;-,01;
2003-02-04 12:00;,22;
2002-11-25 12:00;-,06;
2002-10-02 12:00;,02;
2002-07-29 12:00;,1;
2002-05-30 12:00;,15;
2002-03-14 12:00;,27;
2002-01-31 12:00;,19;
2001-11-30 12:00;,17;
2001-09-27 12:00;,31;
2001-08-07 12:00;,15;
2001-05-29 12:00;,17;
2001-03-27 12:00;,18;
2001-02-06 12:00;,22;
2000-11-28 12:00;,33;
2000-09-27 12:00;,06;
2000-07-26 12:00;,11;
2000-05-31 12:00;,13;
2000-03-31 12:00;,14;
2000-01-31 12:00;,06;
1999-11-25 12:00;,07;
1999-09-09 12:00;,14;
1999-07-05 12:00;,19;
1999-04-27 12:00;,22;
1999-03-26 12:00;,23;
1999-02-18 12:00;,42;
1999-01-08 12:00;,51;
1998-12-01 12:00;,53;
1998-04-28 12:00;,11;
1998-02-09 12:00;,11;
1997-09-26 12:00;,12;
1997-07-18 12:00;,26;
1997-05-22 12:00;,17;
1997-03-19 12:00;-,29;
1997-02-04 12:00;-,39;
1996-11-29 12:00;,21;
1996-10-04 12:00;,01;
1996-07-24 12:00;,1;
1996-05-22 12:00;-,23;
1996-03-26 12:00;-,55;
1996-01-24 12:00;-,49;
1995-12-01 12:00;,22;
1995-06-13 12:00;,23;
1995-03-27 12:00;,37;
1995-01-16 12:00;,37;
1994-12-19 12:00;,21;
1994-11-07 12:00;,34;
1994-08-23 12:00;,22;
1994-07-26 12:00;,11;
1994-06-09 12:00;,32;
1994-01-18 12:00;-,39;
1993-12-29 12:00;-,06;
1993-11-12 12:00;-,08;
1993-10-25 12:00;-,04;
1993-09-01 12:00;,11;
1993-08-26 12:00;,13;
1993-06-07 12:00;,18;
1993-04-01 12:00;-,22;
1993-01-22 12:00;-,38;
1992-10-28 12:00;-,17;
1992-08-21 12:00;,09;
1992-06-12 12:00;,21;
1992-01-02 12:00;-,26;
1991-11-06 12:00;,2;
1991-08-08 12:00;,03;
1991-06-05 12:00;,01;
1991-03-26 12:00;-,29;
1990-12-03 12:00;-,24;
1990-10-03 12:00;-,04;
1990-06-19 12:00;-,18;
1990-01-30 12:00;-,16;
1989-11-07 12:00;,01;
1989-09-04 12:00;,06;
