D06090 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06090;
Adres;Waterlooplein hk Mr Visserplein;
Status;Actief;
Straathoogte;0,96;m + NAP
Bovenkant buis;0,81;m + NAP
Top filter;-1,70;m + NAP
Bodem filter;-2,70;m + NAP
Diameter filter;51;mm
x-coördinaat;122039;
y-coördinaat;486768;
;;
;;
datum;meting NAP;
1990-06-19 12:00;-,52;
1990-04-20 12:00;-,37;
1990-01-26 12:00;-,34;
1989-11-07 12:00;-,42;
1989-09-05 12:00;-,52;
1989-06-27 12:00;-,46;
1989-04-21 12:00;-,25;
1989-01-27 12:00;-,39;
1988-11-22 12:00;-,4;
1988-09-01 12:00;-,25;
1988-06-23 12:00;-,44;
1988-04-19 12:00;-,3;
1988-02-03 12:00;-,1;
1987-11-25 12:00;-,08;
1987-09-10 12:00;-,19;
1987-06-24 12:00;-,26;
1987-04-22 12:00;-,39;
1987-02-18 12:00;-,45;
1986-11-28 12:00;-,29;
1986-09-16 12:00;-,28;
1986-06-30 12:00;-,49;
1986-04-24 12:00;-,41;
1985-11-25 12:00;-,48;
1985-09-26 12:00;-,49;
1985-09-19 12:00;-,48;
1985-09-16 12:00;-,51;
1985-09-05 12:00;-,61;
1985-08-29 12:00;-,69;
1985-08-22 12:00;-,35;
1985-08-15 12:00;-,36;
1985-08-08 12:00;-,41;
1985-08-01 12:00;-,35;
1985-07-24 12:00;-,55;
1985-07-18 12:00;-,55;
1985-07-12 12:00;-,52;
1985-07-04 12:00;-,56;
1985-06-27 12:00;-,55;
1985-06-20 12:00;-,49;
1985-06-13 12:00;-,42;
1985-06-06 12:00;-,45;
1985-05-31 12:00;-,4;
1985-05-23 12:00;-,32;
1985-05-15 12:00;-,37;
1985-05-09 12:00;-,38;
1985-05-02 12:00;-,39;
1985-04-25 12:00;-,41;
1985-04-18 12:00;-,44;
1985-04-11 12:00;-,46;
1985-04-04 12:00;-,46;
1985-03-28 12:00;-,58;
1985-03-21 12:00;-,54;
1985-03-14 12:00;-,56;
1985-03-07 12:00;-,59;
1985-02-28 12:00;-,5;
1985-02-21 12:00;-,62;
1985-02-14 12:00;-,55;
1985-02-07 12:00;-,54;
1985-01-31 12:00;-,45;
1985-01-24 12:00;-,49;
1985-01-03 12:00;-,47;
1984-12-27 12:00;-,48;
1984-12-20 12:00;-,52;
1984-12-13 12:00;-,5;
1984-12-06 12:00;-,48;
1984-11-29 12:00;-,37;
1984-11-22 12:00;-,42;
1984-11-15 12:00;-,6;
1984-11-08 12:00;-,53;
1984-11-06 12:00;-,54;
1984-11-01 12:00;-,5;
1984-10-25 12:00;-,4;
1984-10-18 12:00;-,49;
1984-10-11 12:00;-,45;
1984-10-04 12:00;-,42;
1984-09-27 12:00;-,46;
