D06390 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06390;
Adres;Waterlooplein 181;
Status;Actief;
Straathoogte;0,65;m + NAP
Bovenkant buis;0,55;m + NAP
Top filter;-2,18;m + NAP
Bodem filter;-3,18;m + NAP
Diameter filter;51;mm
x-coördinaat;121998;
y-coördinaat;486826;
;;
;;
datum;meting NAP;
2021-12-10 11:12;-,17;
2021-10-01 08:38;-,38;
2021-10-01 07:38;-,38;
2021-07-26 09:00;-,31;
2021-05-20 08:32;-,27;
2021-01-20 09:39;-,21;
2020-11-17 11:47;-,28;
2020-09-30 11:25;-,17;
2020-07-10 07:34;-,18;
2020-05-07 09:03;-,48;
2020-04-09 12:08;-,48;
2020-02-19 11:24;-,17;
2019-11-26 11:28;-,21;
2019-09-23 10:39;-,31;
2019-08-08 10:12;-,31;
2019-06-05 08:34;-,32;
2019-03-20 10:28;-,19;
2019-01-30 11:41;-,2;
2018-12-14 10:33;-,28;
2018-10-05 08:20;-,2;
2018-07-18 06:47;-,4;
2018-05-28 09:29;-,31;
2018-04-04 07:40;-,16;
2018-01-30 10:17;-,22;
2017-11-22 08:39;-,17;
2017-10-05 11:06;-,14;
2017-08-14 07:46;-,24;
2017-07-04 09:27;-,29;
2017-04-07 08:24;-,31;
2017-02-27 11:10;-,19;
2016-12-20 13:31;-,15;
2016-10-10 06:15;-,35;
2016-08-19 08:25;-,19;
2016-06-24 08:52;-,08;
2016-04-14 09:36;-,22;
2016-02-09 08:27;-,05;
2015-12-29 10:50;-,21;
2015-10-05 13:57;-,2;
2015-07-31 07:08;-,27;
2015-06-19 08:09;-,34;
2015-03-20 08:48;-,27;
2015-02-10 11:51;-,27;
2014-11-11 13:37;-,33;
2014-07-10 10:12;-,26;
2014-05-20 08:31;-,22;
2014-03-26 09:47;-,22;
2014-01-16 08:02;-,14;
2013-11-21 12:21;-,18;
2013-09-26 07:34;-,25;
2013-07-10 06:07;-,24;
2013-05-31 06:24;-,14;
2013-04-19 05:36;-,32;
2013-02-21 12:14;-,21;
2012-11-08 11:38;-,17;
2012-10-31 08:23;-,13;
2012-10-10 11:37;-,16;
2012-07-25 05:04;-,12;
2012-06-13 09:16;-,23;
2012-05-09 09:10;-,23;
2012-03-28 09:56;-,34;
2012-01-20 10:12;-,15;
2011-12-16 11:37;-,18;
2011-11-15 13:33;-,31;
2011-08-15 07:02;-,14;
2011-06-24 06:26;-,3;
2011-05-13 08:24;-,32;
2011-03-18 08:45;-,27;
2011-01-28 10:10;-,15;
2010-10-27 09:25;-,14;
2010-09-28 07:21;-,13;
2010-06-30 08:04;-,33;
2010-05-26 10:00;-,22;
2010-03-30 06:52;-,12;
2009-10-14 08:32;-,3;
2009-08-31 06:54;-,28;
2009-06-03 11:12;-,16;
2009-04-27 10:09;-,19;
2009-03-04 07:41;-,1;
2009-02-10 11:50;-,05;
2008-11-06 12:00;0;
2008-09-19 12:00;,03;
2008-08-11 12:00;-,01;
2008-07-09 12:00;-,08;
2008-04-21 12:00;-,05;
