,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
78446,78447,Zachte berk,521918,Betula pubescens,Boom niet vrij uitgroeiend,Onbekend,1960,Gemeente Amsterdam,Stadsdeel Zuid,Betula,Betula,K,1,POINT(4.895065 52.353601),POINT(52.353601 4.895065),4.895065,52.353601,
78448,78449,Treurwilg,521916,Salix sepulcralis `Chrysocoma`,Boom vrij uitgroeiend,tot 6 m.,1962,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,1,POINT(4.897193 52.354663),POINT(52.354663 4.897193),4.897193,52.354663,
78450,78451,Treurwilg,521914,Salix sepulcralis `Chrysocoma`,Boom vrij uitgroeiend,Onbekend,1950,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,1,POINT(4.896414 52.354011),POINT(52.354011 4.896414),4.896414,52.354011,
78451,78452,Gewone esdoorn,521913,Acer pseudoplatanus,Boom niet vrij uitgroeiend,Onbekend,1998,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.896611 52.354655),POINT(52.354655 4.896611),4.896611,52.354655,
78452,78453,Rijkbloeiende sierappel,521912,Malus floribunda,Boom vrij uitgroeiend,tot 6 m.,1993,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Malus,K,1,POINT(4.896636 52.354614),POINT(52.354614 4.896636),4.896636,52.354614,
78453,78454,Moerascipres,521911,Taxodium distichum,Boom niet vrij uitgroeiend,15 tot 18 m.,1950,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Taxodium,K,5,POINT(4.896822 52.354162),POINT(52.354162 4.896822),4.896822,52.354162,
78454,78455,Moerascipres,521910,Taxodium distichum,Boom niet vrij uitgroeiend,18 tot 24 m.,1950,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Taxodium,K,7,POINT(4.896821 52.3542),POINT(52.3542 4.896821),4.896821,52.3542,
78502,78503,Gewone haagbeuk,521909,Carpinus betulus,Boom vrij uitgroeiend,6 tot 9 m.,1985,Gemeente Amsterdam,Stadsdeel Zuid,Carpinus,Carpinus,K,2,POINT(4.894873 52.353498),POINT(52.353498 4.894873),4.894873,52.353498,
78503,78504,Eik (cultuurvariëteit),521908,Quercus turneri `Pseudoturneri`,Boom niet vrij uitgroeiend,6 tot 9 m.,1977,Gemeente Amsterdam,Stadsdeel Zuid,Quercus,Quercus,K,2,POINT(4.894861 52.353584),POINT(52.353584 4.894861),4.894861,52.353584,
78504,78505,Wilde lijsterbes,521907,Sorbus aucuparia,Boom vrij uitgroeiend,6 tot 9 m.,1985,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Sorbus,K,2,POINT(4.894914 52.353576),POINT(52.353576 4.894914),4.894914,52.353576,
78507,78508,Veldesdoorn,521904,Acer campestre,Boom vrij uitgroeiend,6 tot 9 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,2,POINT(4.894501 52.354549),POINT(52.354549 4.894501),4.894501,52.354549,
78508,78509,Gewone beuk,521903,Fagus sylvatica,Boom niet vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Fagus,K,1,POINT(4.898041 52.354212),POINT(52.354212 4.898041),4.898041,52.354212,
78509,78510,Veldesdoorn,521902,Acer campestre,Boom vrij uitgroeiend,Onbekend,1970,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.898036 52.354235),POINT(52.354235 4.898036),4.898036,52.354235,
78510,78511,Grauwe abeel,521901,Populus canescens,Boom niet vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Populus,Populus,K,1,POINT(4.897965 52.354277),POINT(52.354277 4.897965),4.897965,52.354277,
78511,78512,Veldesdoorn,521900,Acer campestre,Boom vrij uitgroeiend,12 tot 15 m.,1965,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,4,POINT(4.898009 52.354284),POINT(52.354284 4.898009),4.898009,52.354284,
78512,78513,Veldesdoorn,521899,Acer campestre,Boom niet vrij uitgroeiend,Onbekend,1965,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.898078 52.354277),POINT(52.354277 4.898078),4.898078,52.354277,
78513,78514,Grauwe abeel,521898,Populus canescens,Boom niet vrij uitgroeiend,24 m. en hoger,1977,Gemeente Amsterdam,Stadsdeel Zuid,Populus,Populus,K,8,POINT(4.897373 52.354183),POINT(52.354183 4.897373),4.897373,52.354183,
78514,78515,Veldesdoorn,521897,Acer campestre,Boom vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897295 52.35421),POINT(52.35421 4.897295),4.897295,52.35421,
78515,78516,Grauwe abeel,521896,Populus canescens,Boom niet vrij uitgroeiend,18 tot 24 m.,1975,Gemeente Amsterdam,Stadsdeel Zuid,Populus,Populus,K,7,POINT(4.897156 52.354203),POINT(52.354203 4.897156),4.897156,52.354203,
78516,78517,Veldesdoorn,521895,Acer campestre,Boom niet vrij uitgroeiend,Onbekend,1965,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897238 52.354214),POINT(52.354214 4.897238),4.897238,52.354214,
78517,78518,Appel,521894,Malus,Boom vrij uitgroeiend,6 tot 9 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Malus,K,2,POINT(4.897203 52.354224),POINT(52.354224 4.897203),4.897203,52.354224,
78518,78519,Appel,521893,Malus,Boom vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Malus,K,1,POINT(4.897226 52.354254),POINT(52.354254 4.897226),4.897226,52.354254,
78568,78569,Zwarte els,521891,Alnus glutinosa,Boom niet vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Alnus,Alnus,K,1,POINT(4.897872 52.355068),POINT(52.355068 4.897872),4.897872,52.355068,
78569,78570,Eenstijlige meidoorn,521890,Crataegus monogyna,Boom vrij uitgroeiend,tot 6 m.,1970,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,1,POINT(4.897821 52.355094),POINT(52.355094 4.897821),4.897821,52.355094,
78570,78571,Treurwilg,521889,Salix sepulcralis `Chrysocoma`,Gekandelaberde boom,12 tot 15 m.,1989,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,4,POINT(4.897809 52.354989),POINT(52.354989 4.897809),4.897809,52.354989,
78571,78572,Gewone vlier,521888,Sambucus nigra,Boom vrij uitgroeiend,tot 6 m.,1975,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Sambucus,K,1,POINT(4.897783 52.354969),POINT(52.354969 4.897783),4.897783,52.354969,
