id,uuid,runnummer,boomhoogte,opkroonhoogte,kroondiameter,kroonoppervlak,stamdiameter,boomsoort,runnummer_attrs,bron_stam_positie,uid_gemeente
"6180",25f43b7b-4cac-48fe-8788-f468bb8bacb2,"156",27.0082241436359,6.652603708009,9.4079854446439,69.5157407674154,"74",Aesculus hippocastanum,"156",gem,"530542"
"6181",59d78b49-c2b2-4abd-800f-d102a388bbf8,"156",30.9452474216475,7.42032324722126,7.39389768336471,42.9375,"68",,"156",lufo,
"6182",863215c1-1038-4004-9567-53e7dfb8afd7,"156",37.1903719817034,8.63812253643217,6.70574111125996,35.3169708223249,"73",Acer campestre,"156",gem,"518905"
"6183",52c1b079-ff4c-48a8-b38d-645ffa0a6bc8,"156",30.7761416675848,7.38734762517903,16.1854575569942,205.75,"127",Platanus hispanica,"156",lufo,"509109"
"6184",5499aa6e-ad31-49c3-a5c6-60d6c8c2f911,"156",23.6163856463571,5.99119520103964,8.33015937350939,54.5,"60",,"156",lufo,
"6185",56a6d6ed-d21d-4dba-a0fd-e6d9eef72520,"156",12.3450745675666,3.7932895406755,4.01923210623962,12.6875,"20",,"156",lufo,
"6186",6be20a4e-3a64-4c2b-920a-6a5ddc8e16f6,"156",38.8387728386545,8.95956070353763,8.4393031130315,55.9375,"91",Fagus sylvatica,"156",lufo,"522055"
"6187",2e42300d-dc2e-4c86-9963-977817e3c399,"156",8.67580113027663,3.07778122040394,4.04882194452476,12.875,"15",,"156",lufo,
"6188",03a3eac3-209a-4d4d-9f44-d6aa80215d77,"156",14.2070905893121,4.15638266491586,13.8972847506991,151.6875,"60",,"156",lufo,
"6189",a9a9dc51-bcfb-4d35-8d61-90154fa251dc,"156",8.35296036596813,3.01482727136379,5.33748394034579,22.375,"18",,"156",lufo,
"6190",4b4a2698-e865-41dc-a7d3-a046b5dc2233,"156",7.15129111548265,2.78050176751912,5.35237234845831,22.5,"16",,"156",lufo,
"6191",d44fc632-07d2-4fed-b367-68956b9339d6,"156",20.4686296126137,5.37738277445968,20.7833230151341,339.25,"112",,"156",lufo,
"6192",f7f23cfa-e8b3-428e-ad59-e3c00f464a15,"156",28.1123968643468,6.86791738854763,12.5175093958012,123.0625,"96",,"156",lufo,
"6193",09056124-2050-4c8f-9dc6-45b8563baebc,"156",16.3281814322172,4.56999537928236,5.56377897039176,24.3125,"32",,"156",lufo,
"6194",c75d93f4-c7e5-4e21-b247-a74947dfd802,"156",31.969992382932,7.62014851467175,7.72424258562624,46.859935954952,"72",Acer campestre,"156",gem,"522456"
"6195",3da9813e-aa1d-4fc8-9086-e1d92d22a725,"156",5.94317468859954,2.54491906427691,1.89234939151512,2.8125,"6",,"156",lufo,
"6196",b032c3f8-bf66-4e85-80b6-b410584510b1,"156",31.5107145793783,7.53058934297878,19.2590393030302,291.3125,"149",Platanus hispanica,"156",lufo,"509108"
"6197",82873831-528d-4944-8b21-ee0d64e17e8d,"156",14.7823093865532,4.26855033037788,2.82094791773878,6.25,"17",,"156",lufo,
"6198",9b3d5754-7ff9-4386-8112-eaa5081303b8,"156",25.8782144562549,6.43225181896971,13.4265091753473,141.584629052015,"95",,"156",lufo,
"6199",926530a6-a999-4782-9f4c-91b44d1e8516,"156",10.6804917738225,3.46869589589539,7.68934726479687,46.4375,"30",,"156",lufo,
"6200",4dc1575c-378b-409a-a967-6b6055528c9e,"156",6.64287431670068,2.68136049175663,2.93161507141752,6.75,"9",,"156",lufo,
"6201",475124ef-4885-4e02-8bf2-88a49a230f24,"156",19.1248731173833,5.11535025788974,4.55738083480987,16.3125,"31",,"156",lufo,
"6202",1cdf76d1-6170-4870-923d-f13138475e72,"156",14.0307904560596,4.12200413893163,11.6924803235215,107.375,"52",Quercus cerris,"156",lufo,"525641"
"6203",2e804ef6-7859-45b2-9e42-8cfcbd1faee8,"156",23.918963183685,6.05019782081857,14.8763217352032,173.8125,"97",Acer campestre,"156",lufo,"522383"
