,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
118394,118395,Iep (cultuurvariëteit),478503,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002556 52.356279),POINT(52.356279 5.002556),5.002556,52.356279,
118395,118396,Iep (cultuurvariëteit),478502,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002521 52.356337),POINT(52.356337 5.002521),5.002521,52.356337,
118396,118397,Iep (cultuurvariëteit),478501,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002423 52.356349),POINT(52.356349 5.002423),5.002423,52.356349,
118397,118398,Iep (cultuurvariëteit),478500,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002389 52.356407),POINT(52.356407 5.002389),5.002389,52.356407,
118398,118399,Iep (cultuurvariëteit),478499,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.00229 52.356421),POINT(52.356421 5.00229),5.00229,52.356421,
118399,118400,Iep (cultuurvariëteit),478498,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002256 52.356478),POINT(52.356478 5.002256),5.002256,52.356478,
118400,118401,Iep (cultuurvariëteit),478497,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002158 52.356491),POINT(52.356491 5.002158),5.002158,52.356491,
118401,118402,Iep (cultuurvariëteit),478496,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002123 52.356549),POINT(52.356549 5.002123),5.002123,52.356549,
118402,118403,Iep (cultuurvariëteit),478495,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002025 52.356562),POINT(52.356562 5.002025),5.002025,52.356562,
118403,118404,Iep (cultuurvariëteit),478494,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.002001 52.356613),POINT(52.356613 5.002001),5.002001,52.356613,
118404,118405,Iep (cultuurvariëteit),478493,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001892 52.356632),POINT(52.356632 5.001892),5.001892,52.356632,
118405,118406,Iep (cultuurvariëteit),478492,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001856 52.35669),POINT(52.35669 5.001856),5.001856,52.35669,
118406,118407,Iep (cultuurvariëteit),478491,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001758 52.356703),POINT(52.356703 5.001758),5.001758,52.356703,
118424,118425,Gewone plataan,479031,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.992592 52.356707),POINT(52.356707 4.992592),4.992592,52.356707,
118425,118426,Gewone plataan,479030,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.993756 52.356088),POINT(52.356088 4.993756),4.993756,52.356088,
118426,118427,Gewone plataan,479029,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.994088 52.355912),POINT(52.355912 4.994088),4.994088,52.355912,
118427,118428,Gewone plataan,479028,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.994586 52.355647),POINT(52.355647 4.994586),4.994586,52.355647,
118428,118429,Gewone plataan,479027,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.995384 52.355081),POINT(52.355081 4.995384),4.995384,52.355081,
118429,118430,Gewone plataan,479026,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.991433 52.357313),POINT(52.357313 4.991433),4.991433,52.357313,
118430,118431,Gewone plataan,479025,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.988194 52.358792),POINT(52.358792 4.988194),4.988194,52.358792,
118431,118432,Gewone plataan,479024,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.989192 52.358261),POINT(52.358261 4.989192),4.989192,52.358261,
118432,118433,Gewone plataan,479023,Platanus hispanica,Boom niet vrij uitgroeiend,12 tot 15 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,4,POINT(4.992387 52.356562),POINT(52.356562 4.992387),4.992387,52.356562,
118433,118434,Gewone plataan,479022,Platanus hispanica,Boom niet vrij uitgroeiend,12 tot 15 m.,2000,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,4,POINT(4.994049 52.355678),POINT(52.355678 4.994049),4.994049,52.355678,
118434,118435,Gewone plataan,479021,Platanus hispanica,Boom niet vrij uitgroeiend,12 tot 15 m.,2000,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,4,POINT(4.996737 52.35425),POINT(52.35425 4.996737),4.996737,52.35425,
118435,118436,Gewone plataan,479020,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.998399 52.353366),POINT(52.353366 4.998399),4.998399,52.353366,
118436,118437,Gewone plataan,479019,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.989064 52.358583),POINT(52.358583 4.989064),4.989064,52.358583,
118437,118438,Gewone plataan,479018,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.990062 52.358052),POINT(52.358052 4.990062),4.990062,52.358052,
118438,118439,Gewone plataan,479017,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.99995 52.352654),POINT(52.352654 4.99995),4.99995,52.352654,
118439,118440,Gewone plataan,479016,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.997244 52.354093),POINT(52.354093 4.997244),4.997244,52.354093,
118440,118441,Gewone plataan,479015,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.99824 52.353563),POINT(52.353563 4.99824),4.99824,52.353563,
118441,118442,Zilverlinde,478761,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.99612 52.355966),POINT(52.355966 4.99612),4.99612,52.355966,
118442,118443,Zilverlinde,478760,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.996028 52.355901),POINT(52.355901 4.996028),4.996028,52.355901,
118443,118444,Zilverlinde,478759,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.995937 52.355837),POINT(52.355837 4.995937),4.995937,52.355837,
118444,118445,Zilverlinde,478758,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.995846 52.355773),POINT(52.355773 4.995846),4.995846,52.355773,
118445,118446,Zilverlinde,478757,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.995754 52.355708),POINT(52.355708 4.995754),4.995754,52.355708,
118446,118447,Zilverlinde,478756,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.995662 52.355644),POINT(52.355644 4.995662),4.995662,52.355644,
118447,118448,Zilverlinde,478755,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.995572 52.355579),POINT(52.355579 4.995572),4.995572,52.355579,
118448,118449,Zilverlinde,478754,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.99548 52.355515),POINT(52.355515 4.99548),4.99548,52.355515,
118449,118450,Zilverlinde,478753,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.995388 52.355451),POINT(52.355451 4.995388),4.995388,52.355451,
118450,118451,Zilverlinde,478752,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.994981 52.354956),POINT(52.354956 4.994981),4.994981,52.354956,
118451,118452,Zilverlinde,478751,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.995072 52.35502),POINT(52.35502 4.995072),4.995072,52.35502,
118452,118453,Zilverlinde,478750,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.99473 52.354976),POINT(52.354976 4.99473),4.99473,52.354976,
118453,118454,Zilverlinde,478749,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.994914 52.355105),POINT(52.355105 4.994914),4.994914,52.355105,
118454,118455,Zilverlinde,478748,Tilia tomentosa,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,2,POINT(4.99489 52.354892),POINT(52.354892 4.99489),4.99489,52.354892,
118455,118456,Zilverlinde (cultuurvariëteit),478747,Tilia tomentosa `Brabant`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998086 52.357133),POINT(52.357133 4.998086),4.998086,52.357133,
118456,118457,Zilverlinde (cultuurvariëteit),478746,Tilia tomentosa `Brabant`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998001 52.357292),POINT(52.357292 4.998001),4.998001,52.357292,
118457,118458,Zilverlinde,478745,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.999913 52.353158),POINT(52.353158 4.999913),4.999913,52.353158,
118458,118459,Iep (cultuurvariëteit),478490,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001724 52.356761),POINT(52.356761 5.001724),5.001724,52.356761,
118459,118460,Iep (cultuurvariëteit),478489,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001625 52.356774),POINT(52.356774 5.001625),5.001625,52.356774,
118460,118461,Iep (cultuurvariëteit),478488,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001492 52.356845),POINT(52.356845 5.001492),5.001492,52.356845,
118461,118462,Iep (cultuurvariëteit),478487,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001591 52.356832),POINT(52.356832 5.001591),5.001591,52.356832,
