,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
235844,235845,Iep (cultuurvariëteit),339941,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,15 tot 18 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.899977 52.372055),POINT(52.372055 4.899977),4.899977,52.372055,
235845,235846,Iep (cultuurvariëteit),339940,Ulmus `Rebona`,Boom niet vrij uitgroeiend,9 tot 12 m.,2012,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.899473 52.372062),POINT(52.372062 4.899473),4.899473,52.372062,
235846,235847,Iep (cultuurvariëteit),339936,Ulmus `Lobel`,Boom niet vrij uitgroeiend,15 tot 18 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.90248 52.372115),POINT(52.372115 4.90248),4.90248,52.372115,
235847,235848,Iep (cultuurvariëteit),339935,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,15 tot 18 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.896383 52.37211),POINT(52.37211 4.896383),4.896383,52.37211,
235891,235892,Hollandse iep (cultuurvariëteit),339066,Ulmus hollandica `Groeneveld`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.893888 52.376597),POINT(52.376597 4.893888),4.893888,52.376597,
235978,235979,Huntingdon-iep,340841,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898944 52.368348),POINT(52.368348 4.898944),4.898944,52.368348,
235979,235980,Valse acacia (cultuurvariëteit),340840,Robinia pseudoacacia `Semperflorens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Robinia,Robinia,A,4,POINT(4.894727 52.368356),POINT(52.368356 4.894727),4.894727,52.368356,
235980,235981,Huntingdon-iep,340839,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899723 52.36838),POINT(52.36838 4.899723),4.899723,52.36838,
235981,235982,Huntingdon-iep,340838,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899037 52.368428),POINT(52.368428 4.899037),4.899037,52.368428,
235982,235983,Huntingdon-iep,340837,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.896566 52.368419),POINT(52.368419 4.896566),4.896566,52.368419,
235983,235984,Huntingdon-iep,340836,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897977 52.368431),POINT(52.368431 4.897977),4.897977,52.368431,
235984,235985,Huntingdon-iep,340835,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899845 52.368494),POINT(52.368494 4.899845),4.899845,52.368494,
235985,235986,Hollandse linde (cultuurvariëteit),340834,Tilia europaea `Zwarte Linde`,Boom niet vrij uitgroeiend,9 tot 12 m.,1994,Gemeente Amsterdam,Stadsdeel Centrum,Tilia,Tilia,A,3,POINT(4.894715 52.36851),POINT(52.36851 4.894715),4.894715,52.36851,
235986,235987,Valse Christusdoorn (cultuurvariëteit),340833,Gleditsia triacanthos `Inermis`,Boom niet vrij uitgroeiend,12 tot 15 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Overig,Gleditsia,A,4,POINT(4.894776 52.368655),POINT(52.368655 4.894776),4.894776,52.368655,
235987,235988,Hollandse iep (cultuurvariëteit),340832,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,18 tot 24 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.896143 52.368576),POINT(52.368576 4.896143),4.896143,52.368576,
235988,235989,Hollandse iep (cultuurvariëteit),340831,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,15 tot 18 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.896227 52.368663),POINT(52.368663 4.896227),4.896227,52.368663,
235989,235990,Iep (cultuurvariëteit),340830,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896666 52.368527),POINT(52.368527 4.896666),4.896666,52.368527,
235990,235991,Iep (cultuurvariëteit),340829,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.908 52.367402),POINT(52.367402 4.908),4.908,52.367402,
236020,236021,Gewone esdoorn,340166,Acer pseudoplatanus,Knotboom,tot 6 m.,1994,Gemeente Amsterdam,Stadsdeel Centrum,Acer,Acer,A,1,POINT(4.906024 52.374058),POINT(52.374058 4.906024),4.906024,52.374058,
236021,236022,Gewone esdoorn,340165,Acer pseudoplatanus,Knotboom,tot 6 m.,1994,Gemeente Amsterdam,Stadsdeel Centrum,Acer,Acer,A,1,POINT(4.906041 52.374047),POINT(52.374047 4.906041),4.906041,52.374047,
236022,236023,Gewone es,340164,Fraxinus excelsior,Boom niet vrij uitgroeiend,tot 6 m.,1994,Gemeente Amsterdam,Stadsdeel Centrum,Fraxinus,Fraxinus,A,1,POINT(4.906434 52.37399),POINT(52.37399 4.906434),4.906434,52.37399,
236023,236024,Iep (cultuurvariëteit),340163,Ulmus `Rebona`,Boom niet vrij uitgroeiend,9 tot 12 m.,2012,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.902828 52.373975),POINT(52.373975 4.902828),4.902828,52.373975,
236024,236025,Huntingdon-iep,340162,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,9 tot 12 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.899467 52.373966),POINT(52.373966 4.899467),4.899467,52.373966,
236025,236026,Iep (cultuurvariëteit),340161,Ulmus `Clusius`,Boom niet vrij uitgroeiend,9 tot 12 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.89869 52.373966),POINT(52.373966 4.89869),4.89869,52.373966,
236026,236027,Hollandse iep (cultuurvariëteit),340160,Ulmus hollandica `Commelin`,Boom niet vrij uitgroeiend,18 tot 24 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.897922 52.373972),POINT(52.373972 4.897922),4.897922,52.373972,
236027,236028,Iep (cultuurvariëteit),340159,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2000,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,2,POINT(4.905864 52.374007),POINT(52.374007 4.905864),4.905864,52.374007,
236028,236029,Iep (cultuurvariëteit),340158,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.900901 52.373987),POINT(52.373987 4.900901),4.900901,52.373987,
236029,236030,Gewone es,340157,Fraxinus excelsior,Knotboom,tot 6 m.,1994,Gemeente Amsterdam,Stadsdeel Centrum,Fraxinus,Fraxinus,A,1,POINT(4.906468 52.374012),POINT(52.374012 4.906468),4.906468,52.374012,
236030,236031,Huntingdon-iep,340156,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,9 tot 12 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.899401 52.37391),POINT(52.37391 4.899401),4.899401,52.37391,
236031,236032,Iep (cultuurvariëteit),340155,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1998,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899589 52.373898),POINT(52.373898 4.899589),4.899589,52.373898,
236032,236033,Hollandse iep (cultuurvariëteit),340154,Ulmus hollandica `Groeneveld`,Boom niet vrij uitgroeiend,9 tot 12 m.,1990,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.903799 52.373945),POINT(52.373945 4.903799),4.903799,52.373945,
236033,236034,Huntingdon-iep,340153,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.905523 52.37395),POINT(52.37395 4.905523),4.905523,52.37395,
236034,236035,Huntingdon-iep,339934,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.89684 52.372488),POINT(52.372488 4.89684),4.89684,52.372488,
236035,236036,Gewone plataan,339933,Platanus hispanica,Boom niet vrij uitgroeiend,12 tot 15 m.,1982,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,4,POINT(4.900648 52.372544),POINT(52.372544 4.900648),4.900648,52.372544,
236036,236037,Iep (cultuurvariëteit),339932,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1996,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897908 52.372534),POINT(52.372534 4.897908),4.897908,52.372534,
236037,236038,Iep (cultuurvariëteit),339931,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,15 tot 18 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.902923 52.37256),POINT(52.37256 4.902923),4.902923,52.37256,
236038,236039,Huntingdon-iep,339929,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.902639 52.372586),POINT(52.372586 4.902639),4.902639,52.372586,
236039,236040,Huntingdon-iep,339928,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.896946 52.37258),POINT(52.37258 4.896946),4.896946,52.37258,
236040,236041,Iep (cultuurvariëteit),339927,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,15 tot 18 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.902781 52.372635),POINT(52.372635 4.902781),4.902781,52.372635,
236041,236042,Gewone plataan,339925,Platanus hispanica,Boom niet vrij uitgroeiend,12 tot 15 m.,1982,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,4,POINT(4.900733 52.372685),POINT(52.372685 4.900733),4.900733,52.372685,
236042,236043,Iep (cultuurvariëteit),339924,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,15 tot 18 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.902639 52.372714),POINT(52.372714 4.902639),4.902639,52.372714,
236043,236044,Iep (cultuurvariëteit),339923,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1999,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897106 52.372711),POINT(52.372711 4.897106),4.897106,52.372711,
236044,236045,Iep (cultuurvariëteit),339922,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1982,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.896056 52.372198),POINT(52.372198 4.896056),4.896056,52.372198,
236045,236046,Iep (cultuurvariëteit),339921,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1982,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896209 52.37232),POINT(52.37232 4.896209),4.896209,52.37232,
236046,236047,Huntingdon-iep,339920,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.896441 52.372159),POINT(52.372159 4.896441),4.896441,52.372159,
236178,236179,Huntingdon-iep,341053,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,9 tot 12 m.,1978,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.902843 52.36978),POINT(52.36978 4.902843),4.902843,52.36978,
236179,236180,Iep (cultuurvariëteit),341052,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1996,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.89852 52.369778),POINT(52.369778 4.89852),4.89852,52.369778,
236180,236181,Iep (cultuurvariëteit),341051,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897843 52.369778),POINT(52.369778 4.897843),4.897843,52.369778,
236181,236182,Huntingdon-iep,341050,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899245 52.369789),POINT(52.369789 4.899245),4.899245,52.369789,
236182,236183,Callery-peer (cultuurvariëteit),341048,Pyrus calleryana `Chanticleer`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Overig,Pyrus,A,4,POINT(4.900016 52.369807),POINT(52.369807 4.900016),4.900016,52.369807,
236183,236184,Monumentaaliep,341047,Ulmus minor `Sarniensis`,Boom niet vrij uitgroeiend,18 tot 24 m.,1950,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.903286 52.369829),POINT(52.369829 4.903286),4.903286,52.369829,
236184,236185,Hollandse iep (cultuurvariëteit),341046,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,15 tot 18 m.,1950,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898324 52.369813),POINT(52.369813 4.898324),4.898324,52.369813,
236185,236186,Iep (cultuurvariëteit),341045,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.899069 52.369816),POINT(52.369816 4.899069),4.899069,52.369816,
236186,236187,Iep (cultuurvariëteit),341044,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.902732 52.369851),POINT(52.369851 4.902732),4.902732,52.369851,
236187,236188,Hollandse iep (cultuurvariëteit),341042,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,18 tot 24 m.,1920,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.898851 52.369857),POINT(52.369857 4.898851),4.898851,52.369857,
236188,236189,Hollandse iep (cultuurvariëteit),341041,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,18 tot 24 m.,1920,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.899834 52.36966),POINT(52.36966 4.899834),4.899834,52.36966,
236190,236191,Iep (cultuurvariëteit),340826,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.905591 52.368173),POINT(52.368173 4.905591),4.905591,52.368173,
236191,236192,Huntingdon-iep,340825,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1978,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.907556 52.367895),POINT(52.367895 4.907556),4.907556,52.367895,
236192,236193,Huntingdon-iep,340824,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.907843 52.36808),POINT(52.36808 4.907843),4.907843,52.36808,
236193,236194,Huntingdon-iep,340823,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.905028 52.367292),POINT(52.367292 4.905028),4.905028,52.367292,
236195,236196,Huntingdon-iep,340821,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.905122 52.367259),POINT(52.367259 4.905122),4.905122,52.367259,
236198,236199,Iep (cultuurvariëteit),340817,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.907607 52.367334),POINT(52.367334 4.907607),4.907607,52.367334,
236199,236200,Huntingdon-iep,340814,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,9 tot 12 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.902561 52.368103),POINT(52.368103 4.902561),4.902561,52.368103,
236227,236228,Huntingdon-iep,340152,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.905935 52.373967),POINT(52.373967 4.905935),4.905935,52.373967,
236228,236229,Huntingdon-iep,340151,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.906005 52.373928),POINT(52.373928 4.906005),4.906005,52.373928,
236229,236230,Huntingdon-iep,340150,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,18 tot 24 m.,1950,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.897973 52.37374),POINT(52.37374 4.897973),4.897973,52.37374,
236230,236231,Iep (cultuurvariëteit),340149,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,15 tot 18 m.,1975,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898517 52.373817),POINT(52.373817 4.898517),4.898517,52.373817,
