,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
24251,234252,Huntingdon-iep,340727,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897812 52.367663),POINT(52.367663 4.897812),4.897812,52.367663,
24252,234253,Huntingdon-iep,340726,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1955,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.896127 52.367658),POINT(52.367658 4.896127),4.896127,52.367658,
24253,234254,Huntingdon-iep,340725,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1955,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.896342 52.367671),POINT(52.367671 4.896342),4.896342,52.367671,
24463,234464,Hollandse iep (cultuurvariëteit),340940,Ulmus hollandica `Commelin`,Boom niet vrij uitgroeiend,12 tot 15 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.900324 52.368929),POINT(52.368929 4.900324),4.900324,52.368929,
24465,234466,Iep (cultuurvariëteit),340938,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897055 52.369498),POINT(52.369498 4.897055),4.897055,52.369498,
24466,234467,Veldiep,340937,Ulmus minor,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897162 52.369613),POINT(52.369613 4.897162),4.897162,52.369613,
24467,234468,Iep (cultuurvariëteit),340936,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897509 52.369426),POINT(52.369426 4.897509),4.897509,52.369426,
24468,234469,Iep (cultuurvariëteit),340935,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897614 52.369536),POINT(52.369536 4.897614),4.897614,52.369536,
24469,234470,Iep (cultuurvariëteit),340934,Ulmus `Lobel`,Boom niet vrij uitgroeiend,9 tot 12 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897678 52.369605),POINT(52.369605 4.897678),4.897678,52.369605,
24470,234471,Huntingdon-iep,340933,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898807 52.369585),POINT(52.369585 4.898807),4.898807,52.369585,
24471,234472,Hollandse iep (cultuurvariëteit),340932,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,15 tot 18 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898922 52.369448),POINT(52.369448 4.898922),4.898922,52.369448,
24472,234473,Huntingdon-iep,340931,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1975,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899025 52.369559),POINT(52.369559 4.899025),4.899025,52.369559,
24473,234474,Huntingdon-iep,340930,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,9 tot 12 m.,1975,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.89942 52.369616),POINT(52.369616 4.89942),4.89942,52.369616,
24474,234475,Huntingdon-iep,340929,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.899626 52.369576),POINT(52.369576 4.899626),4.899626,52.369576,
24475,234476,Iep (cultuurvariëteit),340928,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899778 52.369509),POINT(52.369509 4.899778),4.899778,52.369509,
24476,234477,Huntingdon-iep,340927,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1975,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899932 52.36944),POINT(52.36944 4.899932),4.899932,52.36944,
24478,234479,Huntingdon-iep,340712,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899626 52.367328),POINT(52.367328 4.899626),4.899626,52.367328,
24479,234480,Huntingdon-iep,340711,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1978,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899122 52.367928),POINT(52.367928 4.899122),4.899122,52.367928,
24480,234481,Hollandse iep (cultuurvariëteit),340710,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,18 tot 24 m.,1920,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.898487 52.367943),POINT(52.367943 4.898487),4.898487,52.367943,
24481,234482,Iep (cultuurvariëteit),340709,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897559 52.367971),POINT(52.367971 4.897559),4.897559,52.367971,
24482,234483,Iep (cultuurvariëteit),340708,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897352 52.368008),POINT(52.368008 4.897352),4.897352,52.368008,
24483,234484,Hollandse iep (cultuurvariëteit),340707,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,18 tot 24 m.,1920,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,7,POINT(4.898604 52.368057),POINT(52.368057 4.898604),4.898604,52.368057,
24484,234485,Iep (cultuurvariëteit),340706,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897642 52.368064),POINT(52.368064 4.897642),4.897642,52.368064,
24485,234486,Huntingdon-iep,340705,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.896242 52.368089),POINT(52.368089 4.896242),4.896242,52.368089,
24486,234487,Iep (cultuurvariëteit),340704,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897439 52.368111),POINT(52.368111 4.897439),4.897439,52.368111,
24487,234488,Hollandse iep (cultuurvariëteit),340703,Ulmus hollandica `Commelin`,Boom niet vrij uitgroeiend,12 tot 15 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899482 52.368156),POINT(52.368156 4.899482),4.899482,52.368156,
24488,234489,Huntingdon-iep,340702,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.896306 52.368161),POINT(52.368161 4.896306),4.896306,52.368161,
24688,234689,Huntingdon-iep,340926,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1975,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899939 52.369601),POINT(52.369601 4.899939),4.899939,52.369601,
24689,234690,Huntingdon-iep,340925,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.900059 52.369536),POINT(52.369536 4.900059),4.900059,52.369536,
24694,234695,Iep (cultuurvariëteit),340920,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898821 52.369342),POINT(52.369342 4.898821),4.898821,52.369342,
24697,234698,Iep (cultuurvariëteit),340917,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.89861 52.369372),POINT(52.369372 4.89861),4.89861,52.369372,
24699,234700,Iep (cultuurvariëteit),340915,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897458 52.369376),POINT(52.369376 4.897458),4.897458,52.369376,
24701,234702,Huntingdon-iep,340913,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1955,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.896933 52.369382),POINT(52.369382 4.896933),4.896933,52.369382,
24702,234703,Huntingdon-iep,340701,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.896371 52.368232),POINT(52.368232 4.896371),4.896371,52.368232,
24703,234704,Huntingdon-iep,340700,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898839 52.368244),POINT(52.368244 4.898839),4.898839,52.368244,
24704,234705,Hollandse iep (cultuurvariëteit),340699,Ulmus hollandica `Commelin`,Boom niet vrij uitgroeiend,15 tot 18 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.899607 52.368271),POINT(52.368271 4.899607),4.899607,52.368271,
24706,234707,Hollandse iep (cultuurvariëteit),340697,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,9 tot 12 m.,1978,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.898994 52.367814),POINT(52.367814 4.898994),4.898994,52.367814,
24707,234708,Iep (cultuurvariëteit),340696,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.897457 52.367872),POINT(52.367872 4.897457),4.897457,52.367872,
24708,234709,Iep (cultuurvariëteit),340695,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897239 52.367879),POINT(52.367879 4.897239),4.897239,52.367879,
24915,234916,Iep (cultuurvariëteit),340912,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.896801 52.368669),POINT(52.368669 4.896801),4.896801,52.368669,
24916,234917,Iep (cultuurvariëteit),340911,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,15 tot 18 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.897845 52.368557),POINT(52.368557 4.897845),4.897845,52.368557,
24917,234918,Huntingdon-iep,340910,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.897945 52.368663),POINT(52.368663 4.897945),4.897945,52.368663,
24918,234919,Iep (cultuurvariëteit),340909,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.898071 52.368533),POINT(52.368533 4.898071),4.898071,52.368533,
24919,234920,Hollandse iep (cultuurvariëteit),340908,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,12 tot 15 m.,1950,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898177 52.368646),POINT(52.368646 4.898177),4.898177,52.368646,
