D06298 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06298;
Adres;Spuistraat 267;
Status;Actief;
Straathoogte;0,83;m + NAP
Bovenkant buis;0,71;m + NAP
Top filter;-2,02;m + NAP
Bodem filter;-3,02;m + NAP
Diameter filter;51;mm
x-coördinaat;121078;
y-coördinaat;487028;
;;
;;
datum;meting NAP;
2022-02-01 08:43;-0,45;
2021-12-08 10:02;-0,45;
2021-09-27 09:23;-0,71;
2021-07-23 08:21;-0,61;
2021-05-17 10:48;-0,54;
2021-03-26 09:23;-0,51;
2021-01-21 11:07;-0,50;
2020-11-11 11:09;-0,56;
2020-07-14 10:23;-0,53;
2020-05-08 10:56;-0,62;
2020-03-18 09:15;-0,61;
2020-02-06 12:06;-0,57;
2019-11-21 10:27;-0,54;
2019-09-23 07:55;-0,61;
2019-08-06 10:38;-0,56;
2019-06-07 07:21;-0,50;
2019-03-21 13:32;-0,55;
2019-01-29 13:42;-0,50;
2018-12-05 12:06;-0,59;
2018-10-04 10:52;-0,54;
2018-07-17 07:32;-0,66;
2018-05-25 09:36;-0,65;
2018-04-03 10:32;-0,52;
2018-01-24 11:55;-0,50;
2017-11-17 11:09;-0,54;
2017-09-29 10:03;-0,51;
2017-08-18 09:52;-0,54;
2017-07-03 08:46;-0,54;
2017-03-23 08:00;-0,56;
2017-02-14 12:07;-0,60;
2016-12-20 10:51;-0,55;
2016-08-17 09:46;-0,55;
2016-04-18 09:21;-0,54;
2016-02-05 10:39;-0,51;
2015-12-09 13:24;-0,52;
2015-09-17 09:37;-0,51;
2015-06-22 11:21;-0,58;
2015-05-21 06:23;-0,58;
2015-03-19 10:20;-0,57;
2015-02-05 12:37;-0,53;
2014-11-07 13:03;-0,54;
2014-09-12 06:06;-0,55;
2014-07-04 09:41;-0,60;
2014-05-21 13:19;-0,55;
2014-03-19 11:06;-0,60;
2014-01-10 13:02;-0,52;
2013-11-19 11:14;-0,50;
2013-09-19 08:02;-0,50;
2013-07-12 05:50;-0,56;
2013-05-22 09:55;-0,47;
2013-04-16 11:03;-0,55;
2013-03-07 09:42;-0,53;
2012-11-28 09:39;-0,54;
2012-09-27 10:28;-0,51;
2012-06-13 09:02;-0,54;
2012-05-07 08:38;-0,55;
2012-03-27 12:15;-0,59;
2012-02-17 09:37;-0,55;
2011-11-30 12:35;-0,60;
2011-09-23 06:38;-0,52;
2011-07-28 08:19;-0,49;
2011-06-20 07:52;-0,48;
2011-03-14 09:15;-0,54;
2011-01-27 12:29;-0,52;
2010-12-09 10:00;-0,57;
2010-10-25 07:38;-0,52;
2010-09-27 07:59;-0,51;
2010-07-13 07:30;-0,47;
2010-05-21 08:48;-0,55;
2010-03-26 11:11;-0,50;
2010-01-19 13:16;-0,54;
2009-10-12 07:49;-0,54;
2009-08-27 10:41;-0,59;
2009-05-28 09:43;-0,48;
2009-04-16 08:15;-0,53;
2009-03-04 08:55;-0,47;
2009-01-23 11:55;-0,37;
2008-11-03 12:00;-0,48;
2008-08-21 12:00;-0,51;
2008-07-08 12:00;-0,57;
2008-04-23 12:00;-0,50;
2008-03-04 12:00;-0,53;
2007-11-30 12:00;-0,51;
2007-10-05 12:00;-0,52;
2007-07-19 12:00;-0,50;
2007-04-16 12:00;-0,52;
2007-03-08 12:00;-0,48;
2007-01-23 12:00;-0,51;
2006-12-28 12:00;-0,49;
2006-11-07 12:00;-0,49;
2006-10-04 12:00;-0,48;
2006-09-22 12:00;-0,38;
2006-08-10 12:00;-0,51;
2006-06-28 12:00;-0,49;
2006-04-19 12:00;-0,45;
2006-02-27 12:00;-0,45;
2006-01-25 12:00;-0,47;
2005-12-13 12:00;-0,45;
2005-11-08 12:00;-0,44;
2005-09-07 12:00;-0,47;
2005-07-05 12:00;-0,39;
2005-05-09 12:00;-0,45;
2005-03-31 12:00;-0,50;
2005-01-31 12:00;-0,49;
2004-11-29 12:00;-0,44;
2004-10-14 12:00;-0,46;
2004-09-14 12:00;-0,45;
2004-07-06 12:00;-0,42;
2004-05-10 12:00;-0,49;
2003-12-08 12:00;-0,44;
2003-09-01 12:00;-0,50;
2003-04-28 12:00;-0,46;
2003-03-11 12:00;-0,50;
2003-02-13 12:00;-0,49;
2002-11-28 12:00;-0,49;
2002-10-01 12:00;-0,56;
2002-08-12 12:00;-0,50;
2002-05-28 12:00;-0,50;
2002-03-15 12:00;-0,46;
2002-01-29 12:00;-0,44;
2001-11-28 12:00;-0,48;
2001-09-26 12:00;-0,50;
2001-08-07 12:00;-0,53;
2001-05-31 12:00;-0,50;
2001-03-29 12:00;-0,48;
2001-02-02 12:00;-0,49;
2000-11-29 12:00;-0,48;
2000-09-25 12:00;-0,50;
2000-07-24 12:00;-0,47;
2000-06-05 12:00;-0,47;
2000-03-29 12:00;-0,47;
2000-02-04 12:00;-0,48;
1999-11-22 12:00;-0,47;
1999-09-07 12:00;-0,52;
1999-06-30 12:00;-0,52;
1999-04-27 12:00;-0,48;
1999-02-17 12:00;-0,48;
1998-11-17 12:00;-0,48;
1998-09-23 12:00;-0,44;
1998-07-07 12:00;-0,47;
1998-04-28 12:00;-0,46;
1998-02-05 12:00;-0,44;
1997-12-16 12:00;-0,45;
1997-11-28 12:00;-0,50;
1997-09-09 12:00;-0,48;
1997-07-08 12:00;-0,47;
1997-05-13 12:00;-0,49;
1997-03-05 12:00;-0,48;
1997-02-03 12:00;-0,53;
1996-11-08 12:00;-0,44;
1996-09-11 12:00;-0,52;
1996-07-18 12:00;-0,55;
1996-05-21 12:00;-0,52;
1996-03-06 12:00;-0,54;
1996-01-10 12:00;-0,52;
1995-12-19 12:00;-0,54;
1995-10-30 12:00;-0,68;
1995-08-28 12:00;-0,52;
1995-06-12 12:00;-0,43;
1995-04-11 12:00;-0,46;
1995-01-31 12:00;-0,45;
1994-12-13 12:00;-0,44;
1994-11-04 12:00;-0,40;
1994-08-26 12:00;-0,49;
1994-06-07 12:00;-0,46;
1994-04-06 12:00;-0,45;
1994-02-01 12:00;-0,45;
1994-01-04 12:00;-0,43;
1993-11-09 12:00;-0,39;
1993-08-25 12:00;-0,42;
1993-06-10 12:00;-0,46;
1993-04-07 12:00;-0,49;
1993-01-26 12:00;-0,47;
1992-11-04 12:00;-0,43;
1992-09-22 12:00;-0,47;
1992-07-20 12:00;-0,46;
1992-05-19 12:00;-0,45;
1992-03-18 12:00;-0,43;
1992-01-31 12:00;-0,49;
1991-10-29 12:00;-0,47;
1991-08-14 12:00;-0,50;
1991-06-03 12:00;-0,44;
1991-04-02 12:00;-0,47;
1991-01-21 12:00;-0,44;
1990-12-07 12:00;-0,43;
1990-10-03 12:00;-0,45;
1990-06-18 12:00;-0,42;
1990-04-19 12:00;-0,39;
1990-01-24 12:00;-0,37;
1989-11-06 12:00;-0,38;
1989-09-01 12:00;-0,46;
1989-06-26 12:00;-0,43;
1989-04-20 12:00;-0,38;
1989-01-26 12:00;-0,42;
1988-11-21 12:00;-0,43;
1988-08-31 12:00;-0,41;
1988-06-22 12:00;-0,42;
1988-04-18 12:00;-0,41;
1988-02-02 12:00;-0,36;
1987-11-24 12:00;-0,37;
1987-09-09 12:00;-0,42;
1987-06-23 12:00;-0,32;
1987-04-21 12:00;-0,36;
1987-02-17 12:00;-0,40;
1986-11-27 12:00;-0,41;
1986-09-15 12:00;-0,41;
1986-06-30 12:00;-0,42;
1986-04-24 12:00;-0,41;
