D06333 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06333;
Adres;Geldersekade 2;
Status;Actief;
Straathoogte;2,36;m + NAP
Bovenkant buis;2,30;m + NAP
Top filter;-1,32;m + NAP
Bodem filter;-2,32;m + NAP
Diameter filter;51;mm
x-coördinaat;121967;
y-coördinaat;487722;
;;
;;
datum;meting NAP;
2022-02-02 11:15;-0,35;
2021-12-09 08:47;-0,34;
2021-09-29 08:21;-0,44;
2021-07-26 07:34;-0,37;
2021-05-19 09:48;-0,40;
2021-03-26 11:44;-0,38;
2021-01-22 08:14;-0,29;
2020-11-13 11:47;-0,35;
2020-09-29 09:49;-0,17;
2020-07-09 09:00;-0,50;
2020-05-06 11:15;-0,38;
2020-04-07 09:17;-0,43;
2020-02-10 08:35;-0,36;
2019-09-20 06:30;-0,46;
2019-08-07 05:22;-0,40;
2019-06-11 07:04;-0,43;
2019-03-27 08:20;-0,40;
2019-01-30 08:23;-0,32;
2018-12-07 08:49;-0,30;
2018-10-11 08:51;-0,36;
2018-07-23 09:32;-0,34;
2018-05-29 12:05;-0,40;
2018-03-26 07:28;-0,39;
2018-02-01 09:51;-0,32;
2017-11-21 09:09;-0,34;
2017-10-03 11:30;-0,38;
2017-08-17 07:37;-0,46;
2017-04-19 07:14;-0,41;
2017-02-28 09:02;-0,44;
2016-12-20 09:46;-0,36;
2016-10-05 10:51;-0,44;
2016-08-18 06:09;-0,38;
2016-06-15 06:26;-0,35;
2016-04-19 06:09;-0,37;
2016-02-05 12:32;-0,35;
2015-12-10 09:20;-0,43;
2015-09-21 06:20;-0,27;
2015-07-30 06:24;-0,28;
2015-06-17 08:44;-0,36;
2015-05-22 05:51;-0,34;
2015-03-25 09:41;-0,32;
2015-02-06 09:17;-0,29;
2014-11-11 08:59;-0,30;
2014-09-11 06:54;-0,29;
2014-07-04 07:01;-0,33;
2014-05-20 11:02;-0,28;
2014-03-24 13:21;-0,32;
2014-01-06 10:18;-0,31;
2013-10-04 08:29;-0,44;
2013-07-11 06:41;-0,39;
2013-05-23 08:05;-0,27;
2013-04-04 05:37;-0,35;
2013-02-20 13:05;-0,34;
2012-12-18 09:14;-0,32;
2012-07-31 07:58;-0,34;
2012-07-17 07:39;-0,26;
2012-06-14 08:46;-0,34;
2012-05-07 09:55;-0,36;
2012-01-26 08:02;-0,05;
2011-12-01 09:32;-0,33;
2011-10-31 09:15;-0,32;
2011-08-17 08:20;-0,26;
2011-06-22 05:48;-0,15;
2011-04-18 06:04;-0,34;
2011-03-17 09:15;-0,35;
2011-02-04 09:13;-0,35;
2010-12-10 10:08;-0,30;
2010-10-25 07:56;-0,32;
2010-09-29 07:10;-0,30;
2010-08-30 07:11;-0,22;
2010-06-30 08:12;-0,40;
2010-03-29 07:12;-0,30;
2010-01-18 08:33;-0,33;
2009-10-09 07:45;-0,33;
2009-08-31 07:45;-0,32;
2009-05-29 06:41;-0,29;
2009-04-27 07:06;-0,29;
2009-03-02 08:05;-0,26;
2008-11-04 12:00;-0,30;
2008-09-25 12:00;-0,26;
2008-08-12 12:00;-0,28;
2008-05-06 12:00;-0,31;
2008-03-10 12:00;-0,34;
2008-01-31 12:00;-0,26;
2007-11-26 12:00;-0,30;
2007-10-08 12:00;-0,28;
2007-07-27 12:00;-0,28;
2007-06-27 12:00;-0,25;
2007-04-17 12:00;-0,29;
2007-03-07 12:00;-0,19;
2007-01-12 12:00;-0,28;
2006-11-09 12:00;-0,33;
2006-10-05 12:00;-0,24;
2006-08-14 12:00;-0,25;
2006-07-04 12:00;-0,35;
2006-04-20 12:00;-0,30;
2006-03-01 12:00;-0,46;
2006-01-27 12:00;-0,43;
2005-12-15 12:00;-0,31;
2005-11-09 12:00;-0,34;
2005-09-08 12:00;-0,29;
2005-07-05 12:00;-0,27;
2005-05-12 12:00;-0,37;
2005-03-30 12:00;-0,29;
2005-02-01 12:00;-0,39;
2004-11-30 12:00;-0,30;
2004-10-12 12:00;-0,31;
2004-09-15 12:00;-0,30;
2004-07-08 12:00;-0,31;
2004-05-10 12:00;-0,36;
2004-03-17 12:00;-0,37;
2004-01-27 12:00;-0,28;
2003-11-28 12:00;-0,34;
2003-11-12 12:00;-0,33;
2003-10-09 12:00;-0,29;
2003-09-02 12:00;-0,28;
2003-06-26 12:00;-0,32;
2003-04-29 12:00;-0,29;
2003-03-12 12:00;-0,30;
2003-02-26 12:00;-0,44;
2002-11-27 12:00;-0,40;
2002-10-03 12:00;-0,33;
2002-07-22 12:00;-0,29;
2002-05-29 12:00;-0,26;
2002-03-15 12:00;-0,29;
2002-01-30 12:00;-0,28;
2001-11-30 12:00;-0,30;
2001-09-28 12:00;-0,22;
2001-08-08 12:00;-0,27;
2001-05-29 12:00;-0,30;
2001-03-29 12:00;-0,28;
2001-01-31 12:00;-0,34;
2000-12-05 12:00;-0,31;
2000-09-26 12:00;-0,29;
2000-07-25 12:00;-0,30;
2000-05-30 12:00;-0,34;
2000-03-30 12:00;-0,31;
2000-02-04 12:00;-0,35;
1999-11-23 12:00;-0,34;
1999-09-08 12:00;-0,38;
1999-07-01 12:00;-0,40;
1999-04-28 12:00;-0,36;
1999-02-11 12:00;-0,35;
1998-11-18 12:00;-0,29;
1998-09-10 12:00;-0,30;
1998-07-07 12:00;-0,30;
1998-04-29 12:00;-0,30;
1998-02-06 12:00;-0,33;
1997-12-01 12:00;-0,31;
1997-11-05 12:00;-0,37;
1997-09-04 12:00;-0,39;
1997-04-25 12:00;-0,37;
1997-02-26 12:00;-0,29;
1997-01-15 12:00;-0,36;
1996-11-01 12:00;-0,31;
1996-09-13 12:00;-0,34;
1996-07-26 12:00;-0,61;
1996-05-13 12:00;-0,38;
1996-05-08 12:00;-0,37;
1996-05-01 12:00;-0,35;
1996-04-25 12:00;-0,38;
1996-04-11 12:00;-0,37;
1996-04-05 12:00;-0,40;
1996-03-05 12:00;-0,44;
1995-11-29 12:00;-0,45;
1995-10-03 12:00;-0,30;
1995-07-27 12:00;-0,36;
1995-06-07 12:00;-0,36;
1995-04-20 12:00;-0,33;
1995-02-08 12:00;-0,29;
1994-11-25 12:00;-0,35;
1994-09-30 12:00;-0,29;
1994-08-05 12:00;-0,32;
1994-06-02 12:00;-0,28;
1994-04-15 12:00;-0,29;
1994-02-09 12:00;-0,32;
1993-11-22 12:00;-0,32;
1993-09-28 12:00;-0,25;
1993-08-18 12:00;-0,33;
1993-06-02 12:00;-0,34;
1993-04-20 12:00;-0,33;
1992-12-04 12:00;-0,17;
1992-09-30 12:00;-0,23;
1992-07-08 12:00;-0,22;
1992-04-28 12:00;-0,26;
1989-11-06 12:00;-0,14;
1989-09-04 12:00;-0,17;
1989-06-26 12:00;-0,17;
1989-04-20 12:00;-0,15;
1989-01-26 12:00;-0,12;
1988-11-21 12:00;-0,14;
1988-08-31 12:00;-0,18;
1988-06-22 12:00;-0,27;
1988-04-18 12:00;-0,27;
1988-02-02 12:00;-0,12;
1987-11-24 12:00;-0,07;
1987-09-09 12:00;-0,20;
1987-06-23 12:00;-0,17;
1987-04-21 12:00;-0,12;
1986-09-15 12:00;0,06;
1986-06-30 12:00;-0,42;
1986-04-24 12:00;-0,02;
1986-02-03 12:00;-0,14;
1985-11-22 12:00;-0,34;
1985-09-06 12:00;-0,27;
1985-06-26 12:00;-0,27;
1985-04-19 12:00;-0,36;
1985-02-22 12:00;-0,42;
1984-11-05 12:00;-0,32;
1984-08-22 12:00;-0,38;
1984-06-05 12:00;-0,31;
1984-03-15 12:00;-0,23;
1984-01-09 12:00;-0,26;
1983-11-11 12:00;-0,27;
1983-09-06 12:00;-0,38;
1983-07-04 12:00;-0,26;
1983-05-02 12:00;-0,22;
1983-02-24 12:00;-0,38;
1983-01-10 12:00;-0,32;
1982-11-03 12:00;-0,35;
1982-09-07 12:00;-0,32;
1982-07-27 12:00;-0,24;
1982-05-19 12:00;-0,24;
1982-03-24 12:00;-0,25;
1982-01-29 12:00;-0,28;
1981-11-20 12:00;-0,29;
1981-09-09 12:00;-0,37;
1981-06-22 12:00;-0,33;
1981-03-23 12:00;-0,27;
1981-01-21 12:00;-0,30;
1980-05-23 12:00;-0,40;
1980-05-13 00:00;-0,29;
