D061614 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D061614;
Adres;Rechtboomsloot 26-28;
Status;Actief;
Straathoogte;1,66;m + NAP
Bovenkant buis;1,55;m + NAP
Top filter;-0,80;m + NAP
Bodem filter;-1,80;m + NAP
Diameter filter;52;mm
x-coördinaat;121987;
y-coördinaat;487307;
;;
;;
datum;meting NAP;
2022-02-03 08:18;-0,25;
2021-12-10 08:21;-0,31;
2021-10-01 09:36;-0,46;
2021-10-01 08:36;-0,46;
2021-05-21 10:13;-0,45;
2021-01-20 10:19;-0,28;
2020-11-17 10:49;-0,34;
2020-09-30 07:14;-0,47;
2020-07-10 08:16;-0,44;
