D06514 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06514;
Adres;Oudezijds Voorburgwal 298;
Status;Actief;
Straathoogte;1,17;m + NAP
Bovenkant buis;1,09;m + NAP
Top filter;-1,30;m + NAP
Bodem filter;-2,30;m + NAP
Diameter filter;51;mm
x-coördinaat;121446;
y-coördinaat;487105;
;;
;;
datum;meting NAP;
2022-02-02 11:38;-0,34;
2021-12-09 12:06;-0,25;
2021-09-29 09:25;-0,42;
2021-07-26 08:15;-0,38;
2021-05-19 09:00;0,08;
2021-03-26 07:34;-0,36;
2021-01-22 08:50;-0,34;
2020-11-17 08:15;-0,44;
2020-09-29 10:47;0,03;
2020-07-09 10:07;-0,36;
2020-05-06 11:08;-0,10;
2020-04-07 10:39;-0,57;
2020-02-10 09:47;-0,33;
2019-11-29 09:06;-0,35;
2019-09-20 07:50;-0,37;
2019-08-07 06:43;-0,36;
2019-06-11 07:52;-0,27;
2019-03-27 09:54;-0,33;
2019-01-30 09:59;-0,30;
2018-12-07 09:46;-0,36;
2018-10-11 10:41;-0,35;
2018-07-23 09:17;-0,09;
2018-05-30 09:30;-0,45;
2018-03-26 08:21;-0,37;
2018-02-01 10:49;-0,28;
2017-11-21 10:28;-0,27;
2017-10-04 09:29;-0,31;
2017-08-17 08:40;-0,32;
2017-07-05 08:10;-0,32;
2017-04-19 09:04;-0,40;
2017-02-28 11:28;-0,26;
2016-12-20 11:07;-0,20;
2016-10-05 09:12;-0,41;
2016-08-18 07:49;-0,37;
2016-06-15 07:37;-0,14;
2016-04-19 08:46;-0,36;
2016-02-15 10:20;-0,35;
2015-12-10 09:53;-0,32;
2015-09-21 07:51;-0,26;
2015-07-30 09:38;-0,31;
2015-06-17 09:29;-0,46;
2015-05-22 06:51;-0,41;
2015-03-25 11:43;-0,36;
2015-02-06 10:45;-0,31;
2014-11-11 10:08;-0,33;
2014-09-11 07:54;-0,36;
2014-07-04 08:05;-0,40;
2014-05-21 08:12;-0,36;
2014-03-24 14:51;-0,34;
2014-01-06 11:05;-0,32;
2013-10-04 09:26;-0,38;
2013-07-11 07:38;-0,37;
2013-05-23 08:49;-0,26;
2013-04-04 07:13;-0,40;
2013-02-21 08:50;-0,35;
2012-12-18 10:24;-0,33;
2012-09-18 09:00;-0,46;
2012-07-31 08:46;-0,42;
2012-07-17 08:15;-0,35;
2012-06-14 09:32;-0,43;
2012-05-07 10:47;-0,46;
2012-03-27 09:20;-0,45;
2012-01-26 08:55;-0,42;
2011-12-01 11:52;-0,45;
2011-10-31 11:14;-0,44;
2011-08-17 09:26;-0,43;
2011-06-22 07:53;-0,41;
2011-04-18 06:11;-0,46;
2011-03-17 11:26;-0,44;
2011-02-04 10:46;-0,45;
2010-12-10 11:18;-0,44;
2010-10-25 12:34;-0,39;
2010-09-29 10:12;-0,42;
2010-08-30 08:13;-0,33;
2010-06-29 08:10;-0,41;
2010-03-29 08:02;-0,41;
2010-01-18 10:16;-0,41;
2009-10-09 08:51;-0,44;
2009-08-31 09:26;-0,52;
2009-05-29 07:59;-0,41;
2009-03-02 09:23;-0,41;
2009-02-05 12:29;-0,40;
2008-11-04 12:00;-0,42;
2008-08-12 12:00;-0,41;
2008-05-06 12:00;-0,42;
2008-03-10 12:00;-0,37;
2008-01-31 12:00;-0,40;
2007-10-08 12:00;-0,41;
2007-07-27 12:00;-0,41;
2007-06-27 12:00;-0,37;
2007-04-17 12:00;-0,42;
