D061672 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D061672;
Adres;Beursplein 1;
Status;Actief;
Straathoogte;1,29;m + NAP
Bovenkant buis;1,18;m + NAP
Top filter;-1,71;m + NAP
Bodem filter;-2,71;m + NAP
Diameter filter;52;mm
x-coördinaat;121498;
y-coördinaat;487517;
;;
;;
datum;meting NAP;
2022-02-02 09:48;-0,27;
2021-12-09 10:03;-0,24;
2021-09-29 08:59;-0,40;
2021-07-26 08:43;-0,46;
2021-05-18 11:49;-0,22;
2021-03-26 08:31;-0,15;
2021-01-22 09:13;-0,09;
2020-11-17 08:33;-0,17;
2020-07-09 09:48;-0,13;
