D06332 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06332;
Adres;Oudezijds Achterburgwal 187 hk Spinhuissteeg 2 A/b;
Status;Actief;
Straathoogte;0,73;m + NAP
Bovenkant buis;0,66;m + NAP
Top filter;-1,87;m + NAP
Bodem filter;-2,87;m + NAP
Diameter filter;51;mm
x-coördinaat;121559;
y-coördinaat;487072;
;;
;;
datum;meting NAP;
2022-02-02 10:35;-0,58;
2021-12-09 11:55;-0,50;
2021-09-29 07:56;-0,56;
2021-07-26 07:05;-0,53;
2021-05-19 09:13;-0,54;
2021-03-26 07:42;-0,57;
2021-01-22 09:00;-0,51;
2020-11-17 07:57;-0,57;
2020-09-29 09:34;-0,54;
2020-07-09 09:14;-0,47;
2020-05-06 10:16;-0,73;
2020-04-07 10:56;-0,76;
2020-02-10 10:12;-0,51;
2019-11-29 09:46;-0,57;
2019-09-20 08:09;-0,57;
2019-08-07 07:04;-0,50;
2019-06-11 09:06;-0,50;
2019-03-27 09:50;-0,50;
2019-01-30 09:08;-0,40;
2018-12-07 10:21;-0,43;
2018-10-11 12:30;-0,39;
2018-07-23 09:20;-0,49;
2018-05-30 09:37;-0,50;
2018-03-26 08:15;-0,52;
2018-02-01 10:22;-0,43;
2017-11-21 10:41;-0,38;
2017-10-04 09:37;-0,46;
2017-08-18 07:24;-0,43;
2017-07-05 08:33;-0,49;
2017-04-19 08:20;-0,60;
2017-02-28 12:12;-0,44;
2016-12-20 11:15;-0,49;
2016-10-05 09:47;-0,56;
2016-08-18 08:13;-0,46;
2016-06-15 07:55;-0,46;
2016-04-19 10:14;-0,47;
2016-02-15 11:30;-0,48;
2015-12-10 12:06;-0,42;
2015-09-21 08:04;-0,39;
2015-07-30 08:49;-0,43;
2015-06-17 09:38;-0,56;
2015-05-22 06:58;-0,57;
2015-03-25 11:36;-0,56;
2015-02-06 11:05;-0,56;
2014-11-11 10:20;-0,54;
2014-09-11 08:11;-0,52;
2014-07-04 07:58;-0,52;
2014-05-21 07:57;-0,51;
2014-03-25 09:12;-0,55;
2014-01-06 11:16;-0,49;
2013-10-04 09:48;-0,53;
2013-07-11 07:55;-0,55;
2013-05-23 09:22;-0,41;
2013-04-04 07:38;-0,56;
2013-02-21 07:49;-0,58;
2012-12-18 09:34;-0,49;
2012-07-31 09:06;-0,52;
2012-07-17 08:27;-0,36;
2012-06-14 09:02;-0,53;
2012-05-08 06:18;-0,51;
2012-03-27 09:42;-0,59;
2012-01-26 09:02;-0,50;
2011-12-01 12:13;-0,56;
2011-10-31 11:43;-0,53;
2011-08-17 10:21;-0,50;
2011-06-22 06:15;-0,49;
2011-04-18 06:15;-0,55;
2011-03-17 09:48;-0,53;
2011-02-04 11:18;-0,54;
2010-12-10 11:51;-0,59;
2010-10-26 06:42;-0,50;
2010-09-29 09:40;-0,53;
2010-08-30 08:42;-0,32;
2010-06-29 08:53;-0,55;
2010-03-29 07:40;-0,47;
2010-01-18 11:06;-0,53;
2009-10-09 09:24;-0,48;
2009-08-31 10:15;-0,51;
2009-05-29 08:35;-0,48;
2009-04-27 07:40;-0,48;
2009-03-02 09:52;-0,47;
2009-02-05 13:25;-0,48;
2008-11-04 12:00;-0,48;
2008-09-25 12:00;-0,50;
2008-08-12 12:00;-0,39;
2008-05-06 12:00;-0,51;
2008-03-11 12:00;-0,44;
2008-01-31 12:00;-0,48;
2007-11-26 12:00;-0,53;
2007-10-08 12:00;-0,49;
2007-07-27 12:00;-0,43;
2007-06-27 12:00;-0,37;
2007-04-17 12:00;-0,51;
2007-03-07 12:00;-0,37;
2007-01-15 12:00;-0,49;
2006-11-08 12:00;-0,51;
2006-10-05 12:00;-0,44;
2006-08-14 12:00;-0,40;
2006-07-03 12:00;-0,49;
2006-04-20 12:00;-0,42;
2006-03-01 12:00;-0,47;
2006-01-27 12:00;-0,56;
2005-12-15 12:00;-0,51;
2005-11-09 12:00;-0,48;
2005-09-08 12:00;-0,52;
2005-07-05 12:00;-0,39;
2005-05-12 12:00;-0,48;
2005-03-30 12:00;-0,83;
2005-02-01 12:00;-0,44;
2004-11-30 12:00;-0,46;
2004-10-12 12:00;-0,47;
2004-09-15 12:00;-0,49;
2004-07-08 12:00;-0,44;
2004-05-10 12:00;-0,50;
2004-03-17 12:00;-0,51;
2004-03-01 12:00;-0,66;
2003-11-28 12:00;-0,38;
2003-10-09 12:00;-0,34;
2003-09-02 12:00;-0,34;
2003-06-26 12:00;-0,41;
2003-04-29 12:00;-0,36;
2003-03-12 12:00;-0,34;
2003-02-14 12:00;-0,32;
2002-10-03 12:00;-0,37;
2002-07-22 12:00;-0,38;
2002-05-29 12:00;-0,41;
2002-03-15 12:00;-0,44;
2002-01-30 12:00;-0,37;
2001-12-11 12:00;-0,37;
2001-09-28 12:00;-0,33;
2001-08-08 12:00;-0,38;
2001-05-29 12:00;-0,39;
2001-03-30 12:00;-0,36;
2001-01-31 12:00;-0,36;
2000-12-06 12:00;-0,38;
2000-09-26 12:00;-0,39;
2000-07-25 12:00;-0,38;
2000-05-31 12:00;-0,42;
2000-03-30 12:00;-0,40;
2000-02-04 12:00;-0,38;
1999-11-23 12:00;-0,39;
1999-09-08 12:00;-0,38;
1999-07-01 12:00;-0,42;
1999-04-28 12:00;-0,41;
1999-02-11 12:00;-0,36;
1998-11-18 12:00;-0,32;
1998-09-11 12:00;-0,36;
1998-07-07 12:00;-0,39;
1998-04-29 12:00;-0,33;
1998-02-06 12:00;-0,40;
1997-12-01 12:00;-0,41;
1997-11-03 12:00;-0,42;
1997-09-03 12:00;-0,38;
1997-04-24 12:00;-0,36;
1997-02-25 12:00;-0,41;
1997-01-15 12:00;-0,38;
