D06668 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06668;
Adres;Paternostersteeg (in het Midden);
Status;Actief;
Straathoogte;1,29;m + NAP
Bovenkant buis;1,25;m + NAP
Top filter;-1,17;m + NAP
Bodem filter;-2,17;m + NAP
Diameter filter;51;mm
x-coördinaat;121587;
y-coördinaat;487515;
;;
;;
datum;meting NAP;
2022-02-02 11:26;-0,42;
2021-12-09 10:01;-0,41;
2021-09-29 09:05;-0,46;
2021-07-26 08:34;-0,33;
2021-05-19 09:58;-0,31;
2021-03-26 08:37;-0,19;
2021-01-22 08:05;-0,18;
2020-11-13 12:09;-0,24;
2020-09-29 10:17;-0,12;
2020-07-09 09:42;-0,23;
2020-05-06 14:07;-0,34;
2020-04-07 09:53;-0,38;
2020-02-10 09:23;-0,33;
2019-11-29 08:57;-0,24;
2019-09-20 07:10;-0,37;
2019-08-07 06:14;-0,39;
2019-06-11 08:02;-0,46;
2019-03-27 08:55;-0,31;
2019-01-30 10:42;-0,36;
2018-12-06 11:41;-0,49;
2018-10-11 13:18;-0,34;
2018-07-23 08:51;-0,51;
2018-05-30 08:59;-0,44;
2018-03-26 09:33;-0,59;
2018-02-01 09:16;-0,37;
2017-08-17 09:17;-0,31;
2017-07-05 07:58;-0,47;
2017-04-19 08:40;-0,41;
2017-02-28 11:00;-0,47;
2017-02-15 09:57;-0,22;
2016-12-20 10:44;-0,32;
2016-10-05 10:19;-0,36;
2016-08-18 07:15;-0,29;
2016-06-15 07:01;-0,34;
2016-04-19 07:53;-0,37;
2015-12-10 10:23;-0,27;
2015-09-21 07:30;-0,17;
2015-07-30 09:20;-0,40;
2015-06-17 10:14;-0,48;
2015-05-22 06:31;-0,43;
2015-03-25 10:30;-0,39;
2015-02-06 09:56;-0,35;
2014-11-11 09:37;-0,47;
2014-09-11 07:30;-0,28;
2014-07-04 07:35;-0,40;
2014-05-21 07:22;-0,44;
2014-03-24 14:04;-0,43;
2014-01-06 10:41;-0,45;
2013-10-04 08:53;-0,50;
2013-07-11 07:14;-0,46;
2013-05-23 07:55;-0,47;
2013-04-04 06:38;-0,55;
2013-02-20 12:55;-0,48;
2012-12-18 08:59;-0,42;
2012-07-31 08:32;-0,20;
2012-07-17 08:00;-0,17;
2012-06-14 08:08;-0,37;
2012-05-07 10:19;-0,39;
2012-03-27 07:28;-0,39;
2012-01-26 08:41;-0,32;
2011-12-01 10:30;-0,40;
2011-10-31 10:05;-0,35;
2011-08-17 08:55;-0,30;
2011-06-22 07:00;-0,33;
2011-04-18 06:09;-0,38;
2011-03-17 08:20;-0,32;
2011-02-04 10:00;-0,33;
2010-12-10 10:36;-0,39;
2010-10-25 10:33;-0,18;
2010-09-29 07:52;-0,16;
2010-08-30 07:50;0,00;
2010-06-29 06:11;-0,31;
2010-03-29 06:50;-0,12;
2010-01-18 09:21;-0,17;
2009-10-09 08:27;-0,20;
2009-08-31 08:57;-0,20;
2009-05-29 07:29;-0,28;
2009-04-27 08:12;-0,33;
2009-03-02 09:05;-0,25;
2009-02-05 10:28;-0,24;
2008-11-04 12:00;-0,15;
2008-09-25 12:00;-0,24;
2008-08-12 12:00;-0,12;
2008-05-06 12:00;-0,22;
2008-03-10 12:00;-0,21;
2008-01-31 12:00;-0,21;
2007-11-26 12:00;-0,21;
2007-10-08 12:00;-0,05;
2007-07-26 12:00;-0,09;
2007-06-27 12:00;-0,17;
2007-04-17 12:00;-0,20;
2007-03-07 12:00;-0,05;
2007-01-12 12:00;-0,23;
2006-11-09 12:00;-0,27;
2006-10-05 12:00;-0,15;
2006-08-14 12:00;-0,14;
2006-07-04 12:00;-0,26;
2006-04-20 12:00;-0,22;
2006-02-27 12:00;-0,30;
2006-01-26 12:00;-0,36;
2005-12-15 12:00;-0,27;
2005-11-09 12:00;-0,17;
2005-09-08 12:00;-0,14;
2005-07-05 12:00;-0,18;
2005-05-12 12:00;-0,28;
2005-03-30 12:00;-0,22;
2005-02-01 12:00;-0,25;
2004-11-30 12:00;-0,15;
2004-11-09 12:00;-0,19;
2004-10-12 12:00;-0,06;
2004-09-15 12:00;-0,10;
2004-07-08 12:00;-0,08;
2004-05-10 12:00;-0,13;
2004-03-17 12:00;-0,13;
2004-01-27 12:00;-0,07;
2003-11-28 12:00;-0,17;
2003-10-09 12:00;-0,13;
2003-09-02 12:00;-0,19;
2003-06-26 12:00;-0,20;
2003-04-29 12:00;-0,25;
2003-03-12 12:00;-0,21;
2003-02-14 12:00;-0,23;
2002-11-27 12:00;-0,13;
2002-10-03 12:00;-0,18;
2002-07-22 12:00;-0,14;
2002-05-29 12:00;-0,14;
2002-03-15 12:00;-0,09;
