D061626 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D061626;
Adres;Oude Waal 4;
Status;Actief;
Straathoogte;1,93;m + NAP
Bovenkant buis;1,82;m + NAP
Top filter;-0,62;m + NAP
Bodem filter;-1,62;m + NAP
Diameter filter;52;mm
x-coördinaat;122029;
y-coördinaat;487397;
;;
;;
datum;meting NAP;
2022-02-03 07:44;-0,28;
2021-12-10 07:59;-0,16;
2021-10-01 09:45;-0,39;
2021-10-01 08:45;-0,39;
2021-07-26 11:17;-0,37;
2021-07-26 10:17;-0,37;
2021-05-20 11:06;-0,29;
2021-05-20 10:06;-0,29;
2021-03-24 10:35;-0,33;
2021-01-20 08:14;-0,17;
2020-11-17 10:40;-0,23;
2020-09-30 07:53;-0,31;
2020-09-30 06:53;-0,31;
2020-07-10 09:13;-0,15;
2020-07-10 08:13;-0,15;
2020-05-07 09:02;-0,30;
2020-05-07 08:02;-0,30;
2020-04-09 11:42;-0,11;
2020-04-09 10:42;-0,11;
2020-02-19 10:36;-0,12;
2019-11-26 10:01;-0,22;
2019-09-23 09:00;-0,31;
2019-09-23 08:00;-0,31;
2019-08-09 07:28;-0,34;
2019-08-09 06:28;-0,34;
2019-06-05 08:23;-0,38;
2019-06-05 07:23;-0,38;
2019-03-20 09:11;-0,12;
2019-01-30 09:44;-0,26;
2018-12-14 10:00;-0,30;
2018-07-18 07:31;-0,40;
