D06359 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06359;
Adres;Oudeschans hk Korte Dijkstraat;
Status;Actief;
Straathoogte;1,69;m + NAP
Bovenkant buis;1,57;m + NAP
Top filter;-1,12;m + NAP
Bodem filter;-2,12;m + NAP
Diameter filter;51;mm
x-coördinaat;121969;
y-coördinaat;487085;
;;
;;
datum;meting NAP;
2022-02-03 07:59;-0,41;
2021-12-10 08:36;-0,43;
2021-10-01 09:03;-0,56;
2021-10-01 08:03;-0,56;
2021-07-26 10:28;-0,49;
2021-05-20 10:38;-0,44;
2021-03-24 10:45;-0,38;
2021-01-20 10:39;-0,36;
2020-11-17 11:01;-0,32;
2020-09-30 07:27;-0,42;
2020-07-10 09:49;-0,32;
2020-05-07 07:48;-0,61;
2020-04-09 10:22;-0,50;
2020-02-19 08:47;-0,32;
2019-11-26 10:24;-0,39;
2019-09-23 08:09;-0,34;
2019-08-09 06:44;-0,33;
2019-06-05 07:39;-0,35;
2019-03-20 09:30;-0,31;
2019-01-30 09:54;-0,30;
2018-12-14 10:14;-0,30;
2018-10-05 09:48;-0,30;
2018-07-18 08:30;-0,29;
2018-05-28 10:10;-0,37;
2018-04-04 09:09;-0,29;
2018-01-31 10:13;-0,28;
2017-11-22 10:33;-0,30;
2017-10-09 09:56;-0,31;
2017-08-14 10:25;-0,34;
2017-07-04 09:46;-0,35;
2017-04-07 09:32;-0,37;
2017-02-27 09:21;-0,35;
2016-12-20 12:59;-0,34;
2016-10-10 09:13;-0,33;
2016-08-19 08:47;-0,36;
2016-06-24 06:59;-0,21;
2016-04-14 08:07;-0,33;
2016-02-09 08:46;-0,32;
2015-12-29 12:12;-0,33;
2015-10-05 11:27;-0,31;
2015-07-31 09:03;-0,25;
2015-06-19 09:05;-0,37;
2015-05-12 10:14;-0,34;
2015-03-20 10:51;-0,35;
2015-02-10 13:09;-0,30;
2014-11-12 12:12;-0,35;
2014-09-16 07:37;-0,41;
2014-07-10 10:38;-0,41;
2014-05-19 08:37;-0,37;
2014-03-25 12:33;-0,40;
2014-01-16 09:02;-0,37;
2013-11-21 11:36;-0,36;
2013-09-26 09:32;-0,37;
2013-07-10 06:33;-0,41;
2013-05-31 07:43;-0,33;
2013-04-19 06:25;-0,37;
2013-02-22 09:20;-0,40;
2012-11-08 10:33;-0,33;
2012-10-31 10:04;-0,33;
2012-10-12 07:15;-0,38;
2012-07-24 10:06;-0,36;
2012-06-13 10:19;-0,41;
2012-05-09 07:05;-0,40;
2012-03-28 09:45;-0,43;
2012-01-20 10:06;-0,37;
2011-12-16 09:39;-0,29;
2011-11-15 10:00;-0,41;
2011-08-15 07:37;-0,38;
2011-05-13 07:11;-0,40;
2011-03-18 09:14;-0,37;
2011-01-28 09:05;-0,38;
2010-12-13 11:39;-0,39;
2010-10-27 06:26;-0,30;
2010-09-28 11:36;-0,32;
2010-06-30 10:49;-0,40;
2010-05-26 08:37;-0,35;
2010-03-30 10:10;-0,33;
2010-01-20 10:54;-0,31;
2009-10-14 09:29;-0,37;
2009-08-31 07:51;-0,42;
2009-06-03 08:46;-0,36;
2009-04-27 08:01;-0,37;
2009-03-04 09:05;-0,34;
2009-02-10 09:34;-0,36;
2008-11-06 12:00;-0,42;
2008-09-19 12:00;-0,37;
2008-08-08 12:00;-0,31;
2008-07-09 12:00;-0,41;
2008-04-21 12:00;-0,38;
2008-03-06 12:00;-0,38;
2008-02-05 12:00;-0,33;
2007-11-29 12:00;-0,35;
2007-10-04 12:00;-0,38;
2007-08-01 12:00;-0,44;
2007-06-19 12:00;-0,35;
2007-04-17 12:00;-0,40;
2007-03-09 12:00;-0,30;
2007-01-24 12:00;-0,30;
2006-12-20 12:00;-0,37;
2006-11-12 12:00;-0,35;
2006-10-02 12:00;-0,41;
2006-08-03 12:00;-0,36;
2006-06-30 12:00;-0,40;
2006-04-24 12:00;-0,34;
2006-03-01 12:00;-0,35;
2006-01-23 12:00;-0,38;
2005-12-16 12:00;-0,36;
2005-11-10 12:00;-0,38;
2005-09-15 12:00;-0,40;
2005-05-18 12:00;-0,39;
2005-04-01 12:00;-0,41;
2005-02-01 12:00;-0,37;
2004-10-19 12:00;-0,39;
2004-09-16 12:00;-0,44;
2004-07-06 12:00;-0,37;
2004-05-12 12:00;-0,43;
2004-03-18 12:00;-0,40;
2004-02-02 12:00;-0,25;
2003-11-24 12:00;-0,39;
2003-10-20 12:00;-0,40;
2003-09-02 12:00;-0,37;
2003-07-03 12:00;-0,39;
2003-04-24 12:00;-0,41;
2003-03-11 12:00;-0,40;
2003-02-04 12:00;-0,34;
2002-11-25 12:00;-0,36;
2002-10-02 12:00;-0,43;
2002-07-29 12:00;-0,42;
2002-05-30 12:00;-0,44;
2002-03-14 12:00;-0,31;
2002-01-31 12:00;-0,34;
2001-11-30 12:00;-0,35;
2001-09-27 12:00;-0,33;
2001-08-07 12:00;-0,30;
2001-05-29 12:00;-0,35;
2001-03-27 12:00;-0,35;
2001-02-05 12:00;-0,28;
2000-11-27 12:00;-0,35;
2000-09-27 12:00;-0,36;
2000-07-26 12:00;-0,37;
2000-05-30 12:00;-0,36;
2000-03-30 12:00;-0,13;
2000-01-31 12:00;-0,32;
1999-11-24 12:00;-0,39;
1999-09-09 12:00;-0,53;
1999-07-05 12:00;-0,39;
1999-04-27 12:00;-0,37;
1999-02-18 12:00;-0,35;
1998-11-30 12:00;-0,35;
1998-09-15 12:00;-0,20;
1998-07-08 12:00;-0,33;
1998-04-28 12:00;-0,33;
1998-02-27 12:00;-0,35;
1997-11-05 12:00;-0,29;
1997-09-04 12:00;-0,39;
1997-04-25 12:00;-0,36;
1997-02-26 12:00;-0,38;
1997-01-15 12:00;-0,39;
1996-11-01 12:00;-0,34;
1996-09-13 12:00;-0,40;
1996-07-26 12:00;-0,42;
1996-03-05 12:00;-0,37;
1995-11-29 12:00;-0,43;
1995-10-03 12:00;-0,43;
1995-07-27 12:00;-0,43;
1995-06-07 12:00;-0,40;
1995-04-21 12:00;-0,40;
1995-02-08 12:00;-0,26;
1994-11-25 12:00;-0,39;
1994-09-30 12:00;-0,35;
1994-08-05 12:00;-0,36;
1994-06-02 12:00;-0,36;
1994-04-15 12:00;-0,34;
1994-02-09 12:00;-0,36;
1993-11-22 12:00;-0,37;
1993-09-28 12:00;-0,31;
1993-08-18 12:00;-0,42;
1993-06-02 12:00;-0,39;
1993-04-20 12:00;-0,40;
1993-02-11 12:00;-0,39;
1992-12-04 12:00;-0,29;
1992-09-30 12:00;-0,40;
1992-07-08 12:00;-0,38;
1992-04-28 12:00;-0,36;
1992-02-18 12:00;-0,47;
1991-11-19 12:00;-0,35;
1991-09-26 12:00;-0,39;
1991-07-26 12:00;-0,41;
1991-05-22 12:00;-0,38;
1991-04-12 12:00;-0,42;
1991-02-04 12:00;-0,45;
1990-11-22 12:00;-0,33;
1990-10-03 12:00;-0,38;
1990-06-19 12:00;-0,35;
1990-04-20 12:00;-0,35;
1990-01-25 12:00;-0,34;
1989-11-07 12:00;-0,32;
1989-09-04 12:00;-0,39;
1989-06-27 12:00;-0,35;
1989-04-20 12:00;-0,30;
1989-01-27 12:00;-0,40;
1988-09-01 12:00;-0,38;
1988-06-23 12:00;-0,41;
1988-04-19 12:00;-0,37;
1988-02-03 12:00;-0,28;
1987-11-25 12:00;-0,24;
1987-09-10 12:00;-0,34;
1987-06-24 12:00;-0,50;
1987-04-22 12:00;-0,35;
1987-02-18 12:00;-0,35;
1986-11-28 12:00;-0,33;
1986-09-16 12:00;-0,34;
1986-06-30 12:00;-0,36;
1986-04-25 12:00;-0,37;
1986-02-05 12:00;-0,39;
1985-11-22 12:00;-0,38;
1985-09-06 12:00;-0,31;
1985-06-26 12:00;-0,30;
1985-04-22 12:00;-0,38;
1985-02-22 12:00;-0,41;
1984-11-06 12:00;-0,34;
1984-08-22 12:00;-0,40;
1984-06-06 12:00;-0,31;
1984-03-15 12:00;-0,39;
1984-01-10 12:00;-0,28;
1983-11-11 12:00;-0,37;
1983-09-06 12:00;-0,35;
1983-07-05 12:00;-0,38;
1983-05-02 12:00;-0,29;
1983-02-25 12:00;-0,38;
1983-01-11 12:00;-0,32;
1982-11-11 12:00;-0,39;
1982-11-05 12:00;-0,39;
1982-07-27 12:00;-0,21;
1982-05-19 12:00;-0,21;
1982-03-25 12:00;-0,23;
1982-02-01 12:00;-0,21;
1981-11-20 12:00;-0,21;
1981-09-09 12:00;-0,23;
1981-06-23 12:00;-0,21;
1981-03-24 12:00;-0,12;
1981-01-21 12:00;-0,17;
1980-05-28 12:00;-0,43;
1980-05-13 00:00;-0,22;
