D06373 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06373;
Adres;kloveniersburgwal 91 verv DW = D06673;
Status;Afgesloten;
Straathoogte;0,62;m + NAP
Bovenkant buis;0,42;m + NAP
Top filter;-2,08;m + NAP
Bodem filter;-3,08;m + NAP
Diameter filter;51;mm
x-coördinaat;121646;
y-coördinaat;486935;
;;
;;
datum;meting NAP;
2000-11-28 12:00;-,22;
2000-11-03 12:00;-,25;
2000-09-27 12:00;-,33;
2000-09-08 12:00;-,38;
2000-07-26 12:00;-,41;
2000-07-07 12:00;-,4;
2000-05-31 12:00;-,32;
2000-05-04 12:00;-,44;
2000-03-30 12:00;-,46;
2000-03-03 12:00;-,37;
2000-01-31 12:00;-,48;
1999-11-24 12:00;-,45;
1999-09-08 12:00;-,46;
1999-07-05 12:00;-,48;
1999-04-27 12:00;-,46;
1999-02-18 12:00;-,45;
1998-11-23 12:00;-,42;
1998-09-15 12:00;-,23;
1998-07-08 12:00;-,43;
1998-04-28 12:00;-,41;
1998-02-09 12:00;-,48;
1997-11-04 12:00;-,43;
1997-09-04 12:00;-,48;
1997-04-25 12:00;-,45;
1997-02-25 12:00;-,47;
1997-01-15 12:00;-,5;
1996-11-01 12:00;-,45;
1996-09-12 12:00;-,49;
1996-07-25 12:00;-,54;
1996-03-05 12:00;-,5;
1995-11-29 12:00;-,53;
1995-10-03 12:00;-,53;
1995-07-26 12:00;-,48;
1995-06-07 12:00;-,51;
1995-04-19 12:00;-,47;
1995-02-08 12:00;-,38;
1994-11-25 12:00;-,51;
1994-09-29 12:00;-,45;
1994-08-04 12:00;-,42;
1994-06-01 12:00;-,45;
1994-04-12 12:00;-,43;
1994-02-09 12:00;-,42;
1993-11-23 12:00;-,48;
1993-09-28 12:00;-,42;
1993-08-17 12:00;-,51;
1993-06-01 12:00;-,48;
1993-04-20 12:00;-,44;
1993-02-10 12:00;-,46;
1992-12-03 12:00;-,41;
1992-09-30 12:00;-,54;
1992-07-07 12:00;-,48;
1992-04-27 12:00;-,43;
1992-02-17 12:00;-,5;
1991-11-18 12:00;-,43;
1991-09-25 12:00;-,42;
1991-07-25 12:00;-,39;
1991-05-22 12:00;-,45;
1991-04-11 12:00;-,52;
1991-02-01 12:00;-,48;
1990-11-22 12:00;-,4;
1990-10-03 12:00;-,48;
1990-06-19 12:00;-,42;
1990-04-20 12:00;-,45;
1990-01-26 12:00;-,4;
1989-11-07 12:00;-,41;
1989-09-04 12:00;-,47;
1989-06-27 12:00;-,46;
1989-04-20 12:00;-,38;
1989-01-27 12:00;-,46;
1988-11-22 12:00;-,47;
1988-09-01 12:00;-,47;
1988-06-23 12:00;-,48;
1988-04-19 12:00;-,44;
1987-11-25 12:00;-,39;
1987-09-10 12:00;-,42;
1987-04-22 12:00;-,46;
1987-02-18 12:00;-,44;
1986-11-28 12:00;-,45;
1986-09-16 12:00;-,38;
1986-04-25 12:00;-,38;
1986-02-05 12:00;-,47;
1985-11-25 12:00;-,48;
1985-09-06 12:00;-,38;
1985-06-26 12:00;-,45;
1985-04-22 12:00;-,46;
1985-02-22 12:00;-,5;
1984-11-06 12:00;-,41;
1984-08-23 12:00;-,44;
1984-06-06 12:00;-,38;
1984-03-15 12:00;-,49;
1983-11-11 12:00;-,46;
1983-09-06 12:00;-,42;
1983-07-05 12:00;-,46;
1983-05-03 12:00;-,3;
1983-02-25 12:00;-,47;
1983-01-11 12:00;-,4;
1982-11-04 12:00;-,45;
1982-09-07 12:00;-,51;
1982-07-27 12:00;-,42;
1982-05-19 12:00;-,42;
1982-03-25 12:00;-,42;
1982-02-01 12:00;-,4;
1981-11-20 12:00;-,65;
1981-09-09 12:00;-,43;
1981-06-23 12:00;-,4;
1981-03-24 12:00;-,36;
1981-01-21 12:00;-,38;
1980-07-02 12:00;-,31;
