D06516 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06516;
Adres;Rokin 100;
Status;Actief;
Straathoogte;0,65;m + NAP
Bovenkant buis;0,58;m + NAP
Top filter;-1,86;m + NAP
Bodem filter;-2,86;m + NAP
Diameter filter;51;mm
x-coördinaat;121271;
y-coördinaat;486960;
;;
;;
datum;meting NAP;
2022-02-02 08:14;-0,54;
2021-12-09 10:51;-0,55;
2021-09-29 07:43;-0,74;
2021-07-26 06:48;-0,67;
2021-05-19 08:40;-0,42;
2021-03-26 07:24;-0,70;
2021-01-22 11:22;-0,59;
2020-11-17 09:04;-0,70;
2020-09-29 06:54;-0,62;
2020-07-09 08:23;-0,63;
2020-05-06 13:04;-0,89;
2020-04-07 11:59;-0,97;
2020-02-10 10:27;-0,63;
2019-11-29 09:32;-0,62;
2019-09-20 08:47;-0,69;
2019-08-07 07:18;-0,53;
2019-06-11 09:44;-0,64;
2019-03-27 09:33;-0,55;
2019-01-30 09:18;-0,55;
2018-12-07 10:01;-0,62;
2018-10-11 10:50;-0,66;
2018-07-23 08:32;-0,66;
2018-05-29 11:18;-0,64;
2018-03-26 09:16;-0,67;
2018-02-01 11:02;-0,52;
2017-11-21 11:01;-0,53;
2017-10-04 10:03;-0,56;
2017-08-18 09:10;-0,57;
2017-07-05 09:40;-0,59;
2017-04-19 09:36;-0,76;
2017-02-28 10:04;-0,56;
2016-12-20 08:36;-0,66;
2016-10-05 09:21;-0,71;
2016-08-18 09:01;-0,46;
2016-06-15 09:03;-0,53;
2016-04-19 07:22;-0,63;
2016-02-15 10:38;-0,56;
2015-12-10 10:52;-0,57;
2015-09-21 10:24;-0,56;
2015-07-29 09:17;-0,57;
2015-06-17 12:07;-0,77;
2015-05-22 00:00;-0,76;
2015-03-25 12:14;-0,70;
2015-02-06 12:24;-0,61;
2014-11-10 13:23;-0,61;
2014-09-11 05:51;-0,60;
2014-07-03 10:18;-0,76;
2014-05-20 10:23;-0,69;
2014-03-25 10:05;-0,67;
2014-01-06 12:23;-0,66;
2013-10-04 10:29;-0,66;
2013-07-11 05:36;-0,50;
2013-05-23 06:57;-0,44;
2013-04-04 09:44;-0,73;
2013-02-21 09:21;-0,66;
2012-12-18 09:56;-0,61;
2012-07-31 07:03;-0,67;
2012-07-17 09:48;-0,43;
2012-03-27 07:14;-0,80;
2012-01-26 06:57;-0,65;
2011-12-01 13:18;-0,74;
2011-10-31 12:24;-0,61;
2011-08-17 06:44;-0,53;
2011-06-22 08:28;-0,54;
2011-04-18 06:18;-0,65;
2011-03-17 11:57;-0,59;
2011-02-04 12:05;-0,59;
2010-12-10 09:00;-0,63;
2010-10-26 09:10;-0,48;
2010-09-29 08:34;-0,53;
2010-08-30 09:35;-0,33;
2010-06-30 07:26;-0,54;
2010-03-29 09:42;-0,51;
2010-01-18 12:17;-0,49;
2009-10-09 10:36;-0,55;
2009-09-01 07:32;-0,50;
2009-05-29 09:50;-0,53;
2009-04-27 09:51;-0,55;
2009-03-02 08:35;-0,54;
2008-11-04 12:00;-0,55;
2008-09-26 12:00;-0,59;
2008-08-13 12:00;-0,52;
2008-05-06 12:00;-0,60;
2008-03-10 12:00;-0,49;
2008-02-01 12:00;-0,48;
2007-11-26 12:00;-0,61;
2007-10-09 12:00;-0,54;
2007-07-26 12:00;-0,45;
2007-04-16 12:00;-0,62;
2007-03-07 12:00;-0,31;
