D06337 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06337;
Adres;Kloveniersburgwal 36;
Status;Actief;
Straathoogte;0,89;m + NAP
Bovenkant buis;0,84;m + NAP
Top filter;-1,78;m + NAP
Bodem filter;-2,78;m + NAP
Diameter filter;51;mm
x-coördinaat;121732;
y-coördinaat;487162;
;;
;;
datum;meting NAP;
2022-02-02 10:56;-0,70;
2021-12-09 09:47;-0,68;
2021-09-29 08:01;-0,74;
2021-07-26 07:30;-0,72;
2021-05-19 09:42;-0,67;
2021-03-26 07:46;-0,67;
2020-11-13 12:48;-0,63;
2020-09-29 10:33;-0,68;
2020-07-09 09:11;-0,62;
2020-05-06 11:33;-0,76;
2020-04-07 09:34;-0,83;
2020-02-10 08:56;-0,63;
2019-11-29 08:34;-0,62;
2019-09-20 06:54;-0,67;
2019-08-07 05:33;-0,66;
2019-06-11 07:22;-0,52;
2019-03-27 10:25;-0,54;
2019-01-30 09:01;-0,60;
2018-12-07 09:07;-0,62;
2018-10-11 09:16;-0,67;
2018-07-23 07:57;-0,71;
2018-05-29 11:42;-0,67;
2018-03-26 09:50;-0,71;
2018-02-01 08:58;-0,69;
2017-11-21 09:26;-0,65;
2017-10-03 11:13;-0,66;
2017-08-17 08:05;-0,68;
2017-07-05 07:19;-0,62;
2017-04-19 08:05;-0,66;
2017-02-28 09:23;-0,59;
2016-12-20 09:56;-0,61;
2016-10-05 10:06;-0,57;
2016-08-18 06:32;-0,62;
2016-06-15 06:35;-0,59;
2016-04-19 06:37;-0,61;
2016-02-05 12:49;-0,58;
2015-12-10 09:41;-0,58;
2015-09-21 06:31;-0,56;
2015-07-30 07:09;-0,58;
2015-06-17 08:55;-0,63;
2015-05-22 06:01;-0,63;
2015-03-26 08:25;-0,61;
2015-02-06 09:37;-0,66;
2014-11-10 13:36;-0,68;
2014-09-11 07:04;-0,61;
2014-07-04 07:18;-0,62;
2014-05-20 10:45;-0,61;
2014-03-24 13:48;-0,62;
2014-01-06 10:25;-0,63;
2013-10-04 08:36;-0,62;
2013-07-11 06:51;-0,63;
2013-05-23 08:13;-0,57;
2013-04-04 05:58;-0,68;
2013-02-21 08:01;-0,67;
2012-12-18 09:25;-0,66;
2012-07-31 08:08;-0,62;
2012-07-17 07:46;-0,53;
2012-06-14 08:30;-0,64;
2012-05-07 10:03;-0,66;
2012-03-27 09:55;-0,65;
2012-01-26 08:16;-0,61;
2011-12-01 09:54;-0,64;
2011-10-31 09:30;-0,65;
2011-08-17 08:31;-0,62;
2011-06-22 06:00;-0,61;
2011-04-18 06:06;-0,65;
2011-03-17 09:30;-0,63;
2011-02-04 09:28;-0,66;
2010-12-10 11:59;-0,68;
2010-10-25 08:28;-0,65;
2010-09-29 09:26;-0,64;
2010-08-30 07:22;-0,56;
2010-06-29 05:37;-0,65;
2010-03-29 09:06;-0,68;
2010-01-18 08:47;-0,63;
2009-10-09 07:54;-0,62;
2009-08-31 08:00;-0,63;
2009-05-29 06:51;-0,62;
2009-04-27 09:20;-0,65;
2009-03-02 08:15;-0,61;
2009-02-05 11:40;-0,62;
2008-11-04 12:00;-0,63;
2008-09-25 12:00;-0,61;
2008-08-12 12:00;-0,58;
2008-05-06 12:00;-0,62;
2008-03-10 12:00;-0,61;
2008-01-31 12:00;-0,61;
2007-11-26 12:00;-0,65;
2007-10-08 12:00;-0,61;
2007-07-26 12:00;-0,60;
2007-06-27 12:00;-0,56;
2007-04-17 12:00;-0,64;
