D06099 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06099;
Adres;Rapenburgerstraat 155;
Status;Actief;
Straathoogte;2,27;m + NAP
Bovenkant buis;2,21;m + NAP
Top filter;-0,33;m + NAP
Bodem filter;-1,33;m + NAP
Diameter filter;51;mm
x-coördinaat;122281;
y-coördinaat;486859;
;;
;;
datum;meting NAP;
2022-02-03 09:12;0,41;
2021-12-10 10:10;0,65;
2021-10-01 08:24;0,26;
2021-10-01 07:24;0,26;
2021-07-26 08:13;0,37;
2021-05-20 09:31;0,43;
2021-03-24 12:22;0,39;
2021-01-20 08:55;0,60;
2020-11-17 10:18;0,52;
2020-09-30 09:10;0,38;
2020-07-10 10:04;0,34;
2020-05-07 07:28;0,26;
2020-04-09 08:16;0,34;
2020-02-19 08:01;0,52;
2019-11-26 09:22;0,59;
2019-09-23 10:08;0,31;
2019-08-08 09:45;0,28;
2019-06-05 07:08;0,31;
2019-03-20 08:35;0,66;
2019-01-30 09:17;0,51;
2018-12-14 09:18;0,42;
2018-10-05 11:27;0,44;
2018-07-18 07:03;0,27;
2018-05-28 09:16;0,48;
2018-04-04 08:06;0,50;
2018-01-30 10:51;0,67;
2017-11-22 09:26;0,65;
2017-10-05 09:10;0,68;
2017-08-14 06:33;0,59;
2017-07-04 11:37;0,47;
2017-04-07 11:13;0,51;
2017-02-24 12:02;0,46;
2017-02-08 09:51;0,38;
2016-12-20 14:10;0,43;
2016-10-10 08:39;0,46;
2016-08-19 09:53;0,66;
2016-06-24 09:13;0,65;
2016-04-14 09:15;0,61;
2016-02-09 11:17;0,77;
2015-12-29 09:56;0,73;
2015-10-05 14:21;0,71;
2015-07-30 11:59;0,41;
2015-06-18 10:56;0,40;
2015-05-12 07:39;0,45;
2015-03-20 09:00;0,55;
2015-02-10 10:01;0,57;
2014-11-11 12:21;0,51;
2014-09-15 08:30;0,55;
2014-07-10 09:35;0,42;
2014-05-19 07:33;0,56;
2014-03-26 10:48;0,52;
2013-09-26 08:48;0,59;
2013-07-10 06:58;0,62;
2013-05-31 08:42;0,69;
2012-11-08 08:59;0,65;
2012-10-31 09:06;0,74;
2012-10-10 11:14;0,64;
2012-07-25 06:01;0,74;
2012-06-13 11:37;0,56;
2012-05-09 09:26;0,54;
2012-03-28 10:13;0,48;
2012-01-20 11:18;0,65;
2011-12-16 12:18;0,72;
2011-11-15 13:58;0,69;
2011-08-15 08:53;0,69;
2011-06-24 06:07;0,35;
2011-05-13 08:38;0,44;
2011-03-18 08:16;0,54;
2010-10-27 10:18;0,83;
2010-09-28 07:47;0,89;
2010-06-30 07:37;0,49;
2010-05-26 10:25;0,64;
2010-03-30 11:24;0,79;
2010-01-21 07:58;0,69;
2009-10-14 06:33;0,47;
2009-08-31 07:14;0,47;
2009-04-27 10:47;0,71;
2009-03-04 12:36;0,72;
2009-02-10 12:40;0,67;
2008-11-06 12:00;0,56;
2008-09-19 12:00;0,62;
2008-08-11 12:00;0,69;
2008-07-09 12:00;0,43;
2008-04-21 12:00;0,74;
2008-03-06 12:00;0,60;
2008-02-06 12:00;0,77;
2007-11-29 12:00;0,53;
2007-10-04 12:00;0,54;
2007-08-02 12:00;0,77;
2007-06-19 12:00;0,71;
2007-04-17 12:00;0,64;
2007-03-09 12:00;0,88;
2007-01-24 12:00;0,86;
2006-12-19 12:00;0,79;
2006-11-08 12:00;0,62;
2006-10-03 12:00;0,55;
2006-08-03 12:00;0,42;
2006-06-30 12:00;0,57;
2006-03-02 12:00;0,67;
2006-01-23 12:00;0,59;
2005-12-16 12:00;0,78;
2005-11-10 12:00;0,72;
2005-09-15 12:00;0,74;
2005-07-07 12:00;0,67;
2005-05-19 12:00;0,72;
2005-04-01 12:00;0,66;
2005-02-01 12:00;0,62;
2004-12-01 12:00;0,77;
2004-10-19 12:00;0,79;
2004-09-16 12:00;0,72;
2004-07-07 12:00;0,62;
2004-05-10 12:00;0,63;
2004-03-18 12:00;0,67;
2004-02-03 12:00;0,80;
2003-11-24 12:00;0,60;
2003-10-20 12:00;0,56;
2003-07-03 12:00;0,57;
2003-05-06 12:00;0,59;
2003-03-11 12:00;0,72;
2003-02-04 12:00;0,92;
2002-11-25 12:00;0,72;
2002-10-02 12:00;0,49;
2002-07-29 12:00;0,58;
2002-05-30 12:00;0,62;
2002-03-14 12:00;0,83;
2001-02-06 12:00;0,96;
2000-11-28 12:00;0,92;
2000-09-27 12:00;0,60;
2000-07-26 12:00;0,66;
2000-05-31 12:00;0,72;
2000-03-31 12:00;0,79;
2000-01-31 12:00;0,74;
1999-09-28 12:00;0,69;
1999-07-05 12:00;0,60;
1999-04-27 12:00;0,70;
1999-02-18 12:00;0,71;
1998-11-30 12:00;0,74;
1998-09-15 12:00;1,07;
1998-07-15 12:00;0,72;
1998-04-28 12:00;0,83;
1998-02-09 12:00;0,57;
1997-09-26 12:00;0,53;
1997-07-18 12:00;0,67;
1997-05-22 12:00;0,45;
1997-03-19 12:00;0,15;
1997-02-04 12:00;0,28;
1996-11-29 12:00;0,75;
1996-10-04 12:00;0,14;
1996-07-24 12:00;0,14;
1996-05-22 12:00;0,26;
1996-03-26 12:00;0,47;
1996-01-23 12:00;0,50;
1995-11-20 12:00;0,42;
1995-06-13 12:00;0,89;
1995-03-27 12:00;1,03;
1995-01-16 12:00;1,17;
1994-12-19 12:00;1,05;
1994-11-07 12:00;1,09;
1994-08-23 12:00;0,43;
1994-06-09 12:00;0,73;
1994-03-30 12:00;0,82;
1994-01-17 12:00;0,74;
1993-12-29 12:00;0,75;
1993-11-12 12:00;0,63;
1993-09-03 12:00;0,64;
1993-08-26 12:00;0,63;
1993-06-07 12:00;0,65;
1993-04-01 12:00;0,65;
1993-01-22 12:00;0,80;
1992-10-28 12:00;0,63;
1992-08-21 12:00;0,50;
1992-06-12 12:00;0,67;
1992-03-31 12:00;0,74;
1992-01-28 12:00;0,53;
1992-01-02 12:00;0,56;
1991-11-06 12:00;0,39;
1991-08-08 12:00;0,56;
1991-06-05 12:00;0,56;
1991-03-26 12:00;0,57;
1991-01-16 12:00;0,62;
1990-12-03 12:00;0,57;
1990-10-03 12:00;0,52;
1990-06-19 12:00;0,59;
1990-04-20 12:00;0,62;
1990-01-25 12:00;0,53;
1989-11-07 12:00;0,51;
1989-09-04 12:00;0,48;
1989-06-27 12:00;0,63;
1989-04-20 12:00;0,77;
1989-01-27 12:00;0,64;
1988-11-22 12:00;0,57;
1988-09-01 12:00;0,72;
1988-04-19 12:00;0,85;
1988-02-03 12:00;0,81;
1987-11-25 12:00;0,79;
1987-09-10 12:00;0,77;
1987-06-24 12:00;0,78;
1987-04-22 12:00;0,72;
1987-02-18 12:00;0,68;
1986-11-28 12:00;0,59;
1986-09-16 12:00;0,57;
1986-04-25 12:00;0,71;
1986-02-05 12:00;0,73;
1985-11-22 12:00;0,58;
1985-09-06 12:00;0,70;
1985-06-26 12:00;0,80;
1985-04-22 12:00;0,70;
1985-02-22 12:00;0,58;
1984-11-06 12:00;0,71;
1984-08-22 12:00;0,66;
1984-06-06 12:00;0,52;
1984-03-15 12:00;0,78;
1984-01-10 12:00;0,69;
1983-11-11 12:00;0,58;
1983-09-06 12:00;0,57;
1983-07-05 12:00;0,78;
1983-05-02 12:00;0,83;
1983-02-25 12:00;0,66;
1983-01-11 12:00;0,67;
1982-11-04 12:00;0,66;
1982-09-07 12:00;0,66;
1982-07-27 12:00;0,72;
1982-05-19 12:00;0,82;
1982-03-25 12:00;0,74;
1982-02-01 12:00;0,76;
1981-11-20 12:00;0,77;
1981-09-09 12:00;0,54;
1981-06-23 12:00;0,76;
1981-03-24 12:00;0,85;
1981-01-21 12:00;0,78;
1980-11-10 12:00;0,63;
1980-08-25 12:00;0,70;
1980-06-10 12:00;0,73;
1980-03-19 12:00;0,72;
1980-01-03 12:00;0,78;
