E06516 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06516;
Adres;Utrechtsestraat 24-26;
Status;Actief;
Straathoogte;1,55;m + NAP
Bovenkant buis;1,43;m + NAP
Top filter;-1,06;m + NAP
Bodem filter;-2,06;m + NAP
Diameter filter;51;mm
x-coördinaat;121675;
y-coördinaat;486416;
;;
;;
datum;meting NAP;
2022-02-04 10:58;-0,36;
2021-12-29 11:30;-0,38;
2021-10-04 10:51;-0,26;
2021-07-27 08:59;-0,42;
2021-05-26 08:45;-0,34;
2021-03-25 11:00;-0,26;
2021-01-27 10:14;-0,31;
2020-11-18 07:57;-0,36;
2020-10-01 09:57;-0,39;
2020-07-28 09:47;-0,26;
2020-05-07 11:17;-0,63;
2020-03-30 08:04;-0,60;
2020-02-14 09:03;-0,53;
2019-12-02 12:58;-0,29;
2019-09-18 11:48;-0,32;
2019-08-07 10:15;-0,12;
2019-06-14 07:42;-0,27;
2019-03-28 10:25;-0,21;
2019-02-01 08:18;-0,14;
2018-12-17 10:23;-0,15;
2018-10-23 12:01;-0,34;
2018-07-25 08:14;-0,31;
2018-05-31 11:14;-0,29;
2018-04-06 08:54;-0,22;
2018-02-02 09:25;-0,31;
2017-10-04 13:12;-0,33;
2017-08-15 07:02;-0,30;
2017-07-06 08:19;-0,24;
2017-04-06 07:48;-0,33;
2017-02-15 09:55;-0,30;
2017-01-05 09:37;-0,40;
2016-10-11 10:58;-0,37;
2016-10-03 08:17;-0,42;
2016-10-03 00:00;-0,42;
2016-08-17 12:00;-0,42;
2016-08-16 12:00;-0,42;
2016-06-22 10:30;-0,31;
2016-04-21 09:11;0,59;
2016-02-10 09:35;-0,09;
2015-12-08 09:22;-0,11;
2015-09-02 07:30;-0,20;
2015-07-02 09:17;-0,35;
2015-05-13 10:20;-0,36;
2015-03-17 10:36;-0,32;
2015-02-11 10:11;-0,31;
2014-11-13 10:51;-0,38;
2014-09-16 09:34;-0,32;
2014-07-15 10:44;-0,24;
2014-05-22 07:48;-0,27;
2014-03-21 09:50;-0,29;
2014-01-07 10:18;-0,22;
2013-11-07 11:05;-0,04;
2013-09-24 11:32;-0,24;
2013-07-16 08:53;-0,38;
2013-05-08 11:18;-0,43;
2013-03-25 08:38;-0,32;
2013-02-21 10:05;-0,26;
2012-12-24 11:25;-0,17;
2012-10-10 07:27;-0,25;
2012-07-24 07:01;-0,22;
2012-05-11 08:08;-0,26;
2012-03-29 12:01;-0,31;
2012-02-15 09:40;-0,30;
2011-12-20 10:10;-0,21;
2011-11-16 09:32;-0,38;
2011-10-02 06:41;-0,36;
2011-09-19 11:55;-0,34;
2011-08-30 07:43;-0,24;
2011-06-03 09:26;-0,37;
2011-03-22 16:34;-0,40;
2011-02-07 11:29;-0,36;
2010-10-28 06:18;-0,26;
2010-09-23 08:30;-0,25;
2010-07-01 08:33;-0,38;
2010-05-27 08:38;-0,32;
2010-03-31 09:48;-0,28;
2010-01-19 10:55;-0,30;
2009-06-05 06:32;-0,33;
