E06075 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06075;
Adres;Sarphatipark 30;
Status;Actief;
Straathoogte;0,44;m + NAP
Bovenkant buis;0,38;m + NAP
Top filter;-2,06;m + NAP
Bodem filter;-3,06;m + NAP
Diameter filter;51;mm
x-coördinaat;121413;
y-coördinaat;485193;
;;
;;
datum;meting NAP;
2022-02-03 11:02;-1,03;
2021-12-10 10:32;-0,84;
2021-09-27 12:02;-1,12;
2021-07-22 07:51;-1,07;
2021-05-06 07:50;-0,92;
2021-03-24 13:22;-0,94;
2021-01-14 11:39;-1,00;
2020-11-11 10:17;-1,05;
2020-09-28 10:49;-1,02;
2020-07-14 08:36;-1,07;
2020-04-29 09:16;-1,04;
2020-03-20 08:28;-0,90;
2020-01-21 10:31;-0,93;
2019-11-18 11:17;-0,86;
2019-09-17 07:28;-1,19;
2019-07-22 10:33;-1,24;
2019-06-03 09:48;-1,26;
2019-03-20 13:07;-1,02;
2019-01-28 11:31;-0,92;
2018-12-05 09:49;-1,16;
2018-10-03 08:43;-1,15;
2018-07-17 09:20;-1,37;
2018-05-15 07:47;-1,03;
2018-03-29 09:05;-1,05;
2018-01-24 11:50;-0,99;
2017-11-14 11:57;-1,10;
2017-09-26 10:25;-0,98;
2017-08-11 09:19;-1,25;
2017-06-22 09:35;-1,47;
2017-03-22 09:57;-1,18;
2017-02-01 12:44;-1,15;
2016-12-01 09:40;-1,07;
2016-10-04 09:19;-1,35;
2016-08-10 07:08;-1,20;
2016-06-10 08:21;-1,20;
2016-04-06 10:00;-1,12;
2016-01-28 15:01;-0,90;
2015-12-07 11:53;-0,82;
2015-09-10 11:29;-0,92;
2015-07-17 06:33;-1,37;
2015-06-09 07:35;-1,26;
2015-03-12 11:22;-0,86;
2015-01-28 11:16;-0,86;
2014-11-06 10:37;-1,11;
2014-09-10 10:36;-1,10;
2014-07-02 08:31;-1,24;
2014-05-07 11:55;-1,15;
2014-04-08 09:35;-1,03;
2014-03-17 11:33;-1,05;
2014-01-15 12:35;-0,89;
2013-11-06 10:14;-0,73;
2013-10-29 11:44;-0,90;
2013-09-17 08:41;-1,10;
2013-07-15 07:48;-1,14;
2013-04-17 08:02;-1,08;
2013-02-20 12:51;-0,98;
2012-09-25 08:44;-0,89;
2012-07-18 09:50;-0,74;
2012-05-21 11:23;-0,99;
2012-05-02 08:21;-1,01;
2012-04-02 09:00;-1,08;
2012-01-18 09:42;-0,93;
2011-11-23 12:13;-1,16;
2011-09-19 06:05;-1,03;
2011-08-16 07:39;-1,11;
2011-07-06 09:35;-1,32;
2011-05-25 07:37;-1,46;
2011-03-07 09:11;-1,20;
2011-01-04 10:50;-1,24;
2010-11-16 13:26;-1,05;
2010-10-27 10:33;-1,03;
2010-10-06 08:36;-1,07;
2010-06-29 09:24;-1,29;
2010-06-08 08:16;-1,15;
2010-04-07 08:10;-1,07;
2010-03-24 13:09;-1,08;
2010-01-22 13:30;-1,11;
2009-12-10 14:26;-1,16;
2009-10-06 10:59;-1,45;
2009-09-15 11:46;-1,27;
2009-08-26 07:00;-1,26;
2009-05-28 08:04;-1,00;
2009-04-14 09:53;-0,94;
2009-03-03 11:25;-0,95;
2009-02-09 11:48;-0,96;
2008-12-16 12:00;-0,85;
2008-10-31 12:00;-0,85;
2008-09-16 12:00;-1,05;
2008-05-22 12:00;-1,07;
2008-02-08 12:00;-0,95;
2007-12-13 12:00;-0,97;
2007-12-06 12:00;-1,01;
2007-11-01 12:00;-1,05;
2007-10-03 12:00;-1,04;
2007-08-21 12:00;-1,07;
2007-08-20 12:00;-1,07;
2007-06-19 12:00;-1,00;
2007-04-25 12:00;-1,06;
2007-04-18 12:00;-1,02;
2007-02-27 12:00;-0,82;
2007-01-22 12:00;-0,75;
2006-12-07 12:00;-0,84;
2006-11-03 12:00;-1,05;
2006-10-30 12:00;-1,14;
2006-09-22 12:00;-1,19;
2006-09-07 12:00;-1,09;
2006-08-17 12:00;-1,05;
2006-07-14 12:00;-1,42;
2006-06-29 12:00;-1,23;
2006-06-09 12:00;-1,10;
2006-05-04 12:00;-1,06;
2006-04-12 12:00;-0,91;
2006-03-03 12:00;-0,99;
2006-02-23 12:00;-0,97;
2006-01-18 12:00;-0,94;
2005-12-19 12:00;-0,84;
2005-11-01 12:00;-0,87;
2005-10-07 12:00;-0,96;
2005-09-05 12:00;-0,99;
2005-08-12 12:00;-0,89;
2005-07-07 12:00;-0,84;
2005-04-29 12:00;-0,93;
2005-03-29 12:00;-0,95;
2005-02-25 12:00;-0,91;
2005-01-25 12:00;-0,96;
2004-12-08 12:00;-0,95;
2004-12-03 12:00;-0,92;
2004-10-19 12:00;-0,89;
2004-10-08 12:00;-0,94;
2004-09-09 12:00;-0,89;
2004-08-13 12:00;-0,95;
2004-07-05 12:00;-0,95;
2004-06-18 12:00;-1,09;
2004-05-03 12:00;-1,01;
2004-04-22 12:00;-0,99;
2004-03-17 12:00;-1,08;
2004-03-15 12:00;-1,17;
2004-03-12 12:00;-1,03;
2004-03-10 12:00;-1,04;
2004-03-08 12:00;-1,06;
2004-03-05 12:00;-1,01;
2004-03-03 12:00;-1,02;
2004-03-01 12:00;-1,02;
2004-02-27 12:00;-0,98;
2004-02-25 12:00;-1,01;
2004-02-23 12:00;-1,05;
2004-02-20 12:00;-1,01;
2004-02-13 12:00;-0,78;
2004-01-29 12:00;-0,84;
2004-01-27 12:00;-0,82;
2004-01-16 12:00;-0,77;
2003-12-24 12:00;-0,85;
2003-12-23 12:00;-0,85;
