E06201 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06201;
Adres;Tweede van der Helststraat hk van Ostadestraat;
Status;Actief;
Straathoogte;0,50;m + NAP
Bovenkant buis;0,39;m + NAP
Top filter;-2,09;m + NAP
Bodem filter;-3,09;m + NAP
Diameter filter;51;mm
x-coördinaat;121459;
y-coördinaat;485091;
;;
;;
datum;meting NAP;
2022-02-03 10:35;-1,03;
2021-12-10 10:40;-0,81;
2021-09-27 11:20;-1,05;
2021-07-21 10:59;-0,99;
2021-05-06 07:35;-0,89;
2021-03-24 12:55;-0,89;
2021-01-14 11:44;-0,89;
2020-11-11 10:24;-0,97;
2020-09-28 12:39;-0,94;
2020-07-14 08:34;-0,95;
2020-04-29 08:57;-0,99;
2020-03-20 08:36;-0,89;
2020-01-21 10:24;-0,92;
2019-11-18 11:23;-0,89;
2019-09-17 07:36;-1,01;
2019-07-22 09:48;-1,05;
2019-06-03 09:12;-1,09;
2019-03-20 13:36;-0,89;
2019-01-28 11:04;-0,94;
2018-12-05 09:39;-1,07;
2018-10-03 08:35;-1,06;
2018-07-17 08:43;-1,21;
2018-05-15 07:56;-1,05;
2018-03-28 09:09;-1,11;
2018-01-24 11:07;-0,98;
2017-11-14 09:42;-1,15;
2017-09-26 09:23;-1,02;
2017-08-11 08:58;-1,19;
2017-06-22 09:29;-1,32;
2017-03-22 12:03;-1,09;
2017-02-01 12:47;-0,24;
2016-12-01 09:47;-1,11;
2016-10-04 09:31;-1,25;
2016-08-10 07:19;-1,14;
2016-06-10 07:50;-1,12;
2016-04-05 11:11;-1,00;
2016-02-01 09:18;-0,90;
2015-12-07 12:26;-0,96;
2015-09-10 12:44;-0,92;
2015-07-17 06:06;-1,24;
2015-06-08 08:54;-1,23;
2015-03-12 11:25;-1,04;
2015-01-28 12:01;-0,98;
2014-11-06 09:27;-1,12;
2014-09-10 10:14;-1,07;
2014-07-03 05:17;-1,26;
2014-05-07 11:35;-1,15;
2014-03-17 11:30;-1,09;
2014-01-15 12:51;-0,97;
2013-10-29 11:25;-1,01;
2013-09-17 09:11;-1,05;
2013-07-15 08:26;-1,14;
2013-04-17 07:56;-1,15;
2013-02-21 08:56;-1,09;
2012-09-25 09:13;-1,15;
2012-07-19 07:11;-0,74;
2012-05-22 08:32;-1,10;
2012-05-02 08:25;-1,13;
2012-04-02 11:07;-1,20;
2012-01-18 11:24;-1,09;
2011-11-23 12:28;-1,26;
2011-09-19 06:03;-1,10;
2011-08-16 09:47;-1,17;
2011-07-06 11:36;-1,28;
2011-05-25 07:34;-1,35;
2011-03-07 09:03;-1,24;
2011-01-04 13:08;-1,25;
2010-11-16 13:58;-1,08;
2010-10-27 10:36;-1,08;
2010-06-29 09:57;-1,35;
2010-06-08 09:58;-1,28;
2010-03-24 10:42;-1,20;
2009-10-06 10:42;-1,30;
2009-08-26 08:04;-1,25;
2009-05-28 08:13;-1,07;
2009-04-14 09:44;-1,08;
2009-03-03 13:44;-1,08;
2009-02-09 11:38;-1,12;
2008-12-16 12:00;-1,02;
2008-09-16 12:00;-1,16;
2008-05-22 12:00;-1,15;
2008-02-08 12:00;-1,06;
2007-12-06 12:00;-1,11;
2007-10-03 12:00;-1,10;
2007-08-20 12:00;-1,12;
2007-04-17 12:00;-1,15;
2007-02-27 12:00;-1,09;
2007-01-22 12:00;-0,97;
2006-12-04 12:00;-0,95;
2006-10-30 12:00;-0,95;
2006-08-17 12:00;-1,04;
2006-06-29 12:00;-1,27;
2006-06-09 12:00;-1,20;
2006-04-12 12:00;-1,10;
2006-01-18 12:00;-1,11;
2005-12-13 12:00;-1,01;
2005-11-01 12:00;-1,01;
2005-09-05 12:00;-1,09;
2005-06-20 12:00;-1,18;
2005-05-03 12:00;-1,02;
2005-03-29 12:00;-1,17;
2005-01-25 12:00;-1,10;
2004-12-06 12:00;-1,07;
2004-10-19 12:00;-0,97;
2004-09-09 12:00;-0,90;
2004-07-01 12:00;-1,11;
2004-05-04 12:00;-1,07;
2004-03-17 12:00;-1,15;
2004-03-15 12:00;-1,16;
2004-03-12 12:00;-1,09;
2004-03-10 12:00;-1,10;
2004-03-08 12:00;-1,10;
2004-03-05 12:00;-1,06;
2004-03-03 12:00;-1,08;
2004-03-01 12:00;-1,08;
2004-02-27 12:00;-1,02;
2004-02-25 12:00;-1,05;
2004-02-23 12:00;-1,05;
2004-02-20 12:00;-1,02;
2004-02-13 12:00;-0,91;
2004-01-29 12:00;-1,00;
2004-01-27 12:00;-0,98;
2004-01-16 12:00;-0,92;
2003-12-30 12:00;-0,91;
2003-12-24 12:00;-1,04;
2003-12-16 12:00;-1,03;
2003-12-09 12:00;-1,06;
2003-11-24 12:00;-1,00;
2003-10-16 12:00;-1,08;
2003-08-27 12:00;-1,18;
2003-06-24 12:00;-1,07;
2003-04-24 12:00;-1,09;
2003-03-11 12:00;-1,03;
2003-02-10 12:00;-0,95;
2002-11-12 12:00;-0,77;
2002-09-18 12:00;-0,99;
2002-07-18 12:00;-0,92;
2002-05-28 12:00;-0,96;
2002-03-13 12:00;-0,90;
2002-01-22 12:00;-0,90;
2001-11-26 12:00;-0,91;
2001-09-18 12:00;-0,67;
2001-08-01 12:00;-0,89;
2001-05-22 12:00;-0,79;
2001-03-22 12:00;-0,90;
2001-01-23 12:00;-0,93;
2000-11-21 12:00;-0,70;
2000-09-21 12:00;-0,90;
2000-07-10 12:00;-0,76;
2000-05-25 12:00;-0,79;
2000-03-23 12:00;-0,84;
2000-01-28 12:00;-0,90;
1999-11-15 12:00;-0,84;
1999-09-02 12:00;-0,96;
1999-06-21 12:00;-0,93;
1999-02-08 12:00;-0,85;
1998-11-10 12:00;-0,59;
1998-09-02 12:00;-0,78;
1998-06-25 12:00;-0,68;
1998-04-14 12:00;-0,82;
1998-01-30 12:00;-0,97;
1997-12-19 12:00;-0,90;
1997-10-16 12:00;-0,77;
1997-07-23 12:00;-0,96;
1997-05-06 12:00;-1,00;
1997-02-26 12:00;-0,95;
1996-12-16 12:00;-0,91;
1996-10-08 12:00;-0,88;
1996-08-01 12:00;-0,89;
1996-05-23 12:00;-0,95;
1996-02-28 12:00;-1,13;
1995-10-17 12:00;-0,82;
1995-08-16 12:00;-0,73;
1995-06-01 12:00;-0,64;
1995-03-03 12:00;-0,74;
1995-01-11 12:00;-0,71;
1994-10-27 12:00;-0,63;
1994-08-12 12:00;-0,80;
1994-05-31 12:00;-0,95;
1994-03-11 12:00;-1,05;
1994-01-07 12:00;-0,86;
1993-10-29 12:00;-0,74;
1993-08-23 12:00;-0,70;
1993-05-26 12:00;-0,94;
1993-03-08 12:00;-1,08;
1993-02-03 12:00;-0,96;
1992-10-27 12:00;-0,65;
1992-08-19 12:00;-0,83;
1992-06-03 12:00;-0,91;
1992-03-24 12:00;-0,92;
1992-01-22 12:00;-0,98;
1991-10-25 12:00;-0,77;
1991-08-06 12:00;-0,85;
1991-03-05 12:00;-0,71;
1990-11-01 12:00;-0,64;
1990-03-08 12:00;-0,72;
1990-02-02 12:00;-0,71;
1989-11-23 12:00;-0,77;
1989-09-04 12:00;-0,85;
1989-08-15 12:00;-0,75;
1989-06-30 12:00;-0,57;
1989-04-04 12:00;-0,66;
1989-01-24 12:00;-0,81;
1988-11-09 12:00;-0,76;
1988-08-19 12:00;-0,80;
1988-06-02 12:00;-0,75;
1988-01-27 12:00;-0,68;
1987-11-06 12:00;-0,75;
1987-06-22 12:00;-0,57;
1987-04-10 12:00;-0,77;
1987-02-18 12:00;-0,89;
1986-12-04 12:00;-0,70;
1986-09-22 12:00;-0,60;
1986-07-07 12:00;-0,51;
1986-04-24 12:00;-0,66;
1986-03-14 12:00;-0,88;
1985-12-09 12:00;-0,61;
1985-09-11 12:00;-0,64;
1985-06-19 12:00;-0,57;
1985-04-03 12:00;-0,73;
1985-01-23 12:00;-0,86;
1984-10-22 12:00;-0,67;
1984-08-08 12:00;-0,74;
1984-05-29 12:00;-0,65;
1984-03-05 12:00;-0,74;
1984-01-09 12:00;-0,62;
1983-11-01 12:00;-0,73;
1983-09-05 12:00;-0,76;
1983-07-06 12:00;-0,71;
1983-05-13 12:00;-0,61;
1983-03-10 12:00;-0,74;
1983-01-17 12:00;-0,65;
1982-11-02 12:00;-0,65;
1982-09-06 12:00;-0,59;
1982-07-26 12:00;-0,63;
1982-05-21 12:00;-0,65;
1982-03-23 12:00;-0,73;
1982-01-27 12:00;-0,58;
1981-11-23 12:00;-0,48;
1981-09-08 12:00;-0,61;
1981-06-22 12:00;-0,54;
1981-03-19 12:00;-0,39;
1981-01-12 12:00;-0,44;
1980-11-04 12:00;-0,59;
1980-08-25 12:00;-0,56;
1980-06-09 12:00;-0,55;
1980-03-17 12:00;-0,40;
