E06692 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06692;
Adres;Eerste Jan Steenstraat nr 119;
Status;Actief;
Straathoogte;0,45;m + NAP
Bovenkant buis;0,38;m + NAP
Top filter;-2,08;m + NAP
Bodem filter;-3,08;m + NAP
Diameter filter;51;mm
x-coördinaat;121275;
y-coördinaat;485270;
;;
;;
datum;meting NAP;
2021-12-10 11:25;-0,62;
2021-09-27 11:57;-0,71;
2021-07-22 06:10;-0,64;
2021-05-06 07:50;-0,54;
2021-03-24 13:14;-0,59;
2021-01-14 11:12;-0,61;
2020-11-11 10:12;-0,71;
2020-09-28 10:30;-0,64;
2020-07-14 09:19;-0,62;
2020-03-20 08:01;-0,50;
2019-06-03 09:52;-0,80;
2019-03-20 13:14;-0,58;
2019-01-28 11:35;-0,52;
2018-12-05 09:52;-0,70;
2018-10-03 08:48;-0,74;
2018-07-17 09:24;-0,82;
2018-05-15 07:41;-0,50;
2018-03-29 09:01;-0,53;
2018-01-24 12:11;-0,57;
2017-11-14 12:16;-0,80;
2017-09-26 11:05;-0,77;
2017-08-11 09:26;-0,74;
2017-06-22 09:40;-0,96;
2017-02-01 12:40;-0,61;
2016-12-01 12:31;-0,61;
2016-08-10 07:47;-0,70;
2016-06-10 08:25;-0,69;
2016-04-06 09:59;-0,61;
2016-01-28 15:06;-0,49;
2015-12-07 11:47;-0,43;
2015-07-17 06:13;-0,82;
2015-03-12 11:49;-0,55;
2014-05-07 12:33;-0,74;
2014-03-17 11:37;-0,64;
2014-01-15 12:44;-0,51;
2013-10-29 11:41;-0,55;
2013-07-15 07:52;-0,62;
2013-04-17 08:09;-0,59;
2013-02-21 10:03;-0,51;
2012-09-25 08:41;-0,45;
2012-07-19 07:14;-0,44;
2012-05-21 11:27;-0,50;
2011-11-23 12:17;-0,70;
2011-09-20 06:13;-0,51;
2011-08-16 07:35;-0,56;
2011-07-06 11:40;-0,77;
2011-05-25 07:41;-0,91;
2011-01-04 13:13;-0,65;
2010-11-16 13:53;-0,55;
2010-10-27 10:07;-0,54;
2010-06-29 09:31;-0,68;
2010-06-08 07:12;-0,58;
2010-03-24 13:02;-0,44;
2009-12-10 14:29;-0,55;
2009-10-06 10:55;-0,79;
2009-08-26 07:07;-0,80;
2009-07-14 09:00;-0,71;
2009-06-04 11:44;-0,71;
2009-04-14 09:48;-0,48;
2009-03-03 13:40;-0,46;
2009-02-27 11:46;-0,51;
2009-02-09 11:43;-0,46;
2008-12-16 12:00;-0,48;
2008-10-31 12:00;-0,47;
2008-09-16 12:00;-0,56;
2008-08-15 12:00;-0,53;
2008-05-22 12:00;-0,61;
2007-12-06 12:00;-0,56;
2007-10-03 12:00;-0,53;
2007-08-20 12:00;-0,55;
2007-04-18 12:00;-0,59;
2007-02-27 12:00;-0,41;
2007-01-15 12:00;-0,81;
2006-09-22 12:00;-0,88;
2006-08-17 12:00;-0,61;
2006-06-29 12:00;-0,72;
2006-06-09 12:00;-0,62;
2006-04-12 12:00;-0,49;
2006-02-23 12:00;-0,47;
2006-01-18 12:00;-0,49;
2005-12-13 00:00;-0,47;
