E06478 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06478;
Adres;van Ostadestraat hk 2e Sweelinckstraat;
Status;Actief;
Straathoogte;0,59;m + NAP
Bovenkant buis;0,54;m + NAP
Top filter;-1,73;m + NAP
Bodem filter;-2,73;m + NAP
Diameter filter;51;mm
x-coördinaat;121777;
y-coördinaat;485170;
;;
;;
datum;meting NAP;
2022-02-02 11:50;-0,64;
2021-12-09 12:04;-0,56;
2021-09-27 09:15;-0,95;
2021-07-21 12:27;-1,20;
2021-03-24 11:09;-0,52;
2021-01-14 12:19;-0,49;
2020-11-11 10:35;-0,60;
2020-09-28 11:06;-0,67;
2020-07-14 09:05;-0,54;
2020-04-28 10:38;-0,68;
2020-03-20 09:23;-0,51;
2020-01-21 11:56;-0,62;
2019-11-18 11:33;-0,52;
2019-09-17 07:48;-0,82;
2019-07-22 09:40;-0,84;
2019-06-03 08:56;-0,98;
2019-03-21 09:30;-1,00;
2019-01-28 10:18;-1,00;
2018-12-05 09:26;-0,68;
2018-10-03 10:48;-0,69;
2018-07-17 08:30;-0,86;
2018-05-15 10:13;-0,60;
2018-03-29 09:33;-0,56;
2018-01-24 11:22;-0,45;
2017-11-14 10:26;-0,63;
2017-09-27 08:44;-0,57;
2017-08-11 08:44;-0,73;
2017-06-22 11:23;-0,83;
2017-03-22 12:10;-0,57;
2017-02-02 10:19;-0,75;
2016-12-01 10:42;-0,69;
2016-10-05 07:37;-0,83;
2016-08-11 07:47;-0,70;
2016-06-10 07:36;-0,69;
2016-04-05 10:58;-0,51;
2016-01-28 13:40;-0,52;
2015-12-07 09:49;-0,52;
2015-09-10 11:39;-0,53;
2015-07-16 09:46;-0,88;
2015-06-08 08:45;-0,80;
2015-03-12 10:04;-0,59;
2015-01-28 10:58;-0,50;
2014-11-06 10:49;-0,61;
2014-09-10 09:29;-0,64;
2014-07-02 10:24;-0,81;
2014-05-08 10:22;-0,73;
2014-03-18 10:37;-0,68;
2014-01-15 11:08;-0,55;
2013-10-29 13:00;-0,48;
2013-09-17 09:45;-0,49;
2013-07-15 08:14;-0,53;
2013-04-17 07:47;-0,57;
2013-02-21 09:03;-0,53;
2012-09-25 10:01;-0,48;
2012-07-19 06:11;-0,43;
2012-05-21 10:29;-0,50;
2012-05-02 08:50;-0,53;
2012-04-02 08:46;-0,60;
2012-01-18 11:14;-0,53;
