E06334 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;E06334;
Adres;Jan van Der Heijdenstraat (2e) 20;
Status;Actief;
Straathoogte;0,47;m + NAP
Bovenkant buis;0,37;m + NAP
Top filter;-1,98;m + NAP
Bodem filter;-2,98;m + NAP
Diameter filter;51;mm
x-coördinaat;121785;
y-coördinaat;485358;
;;
;;
datum;meting NAP;
2021-09-27 12:52;-1,12;
2021-07-22 07:45;-1,02;
2021-03-24 11:54;-0,82;
2021-01-14 10:52;-0,77;
2020-11-11 10:04;-0,52;
2020-09-28 11:02;-0,95;
2020-07-14 10:20;-1,04;
2020-03-20 08:20;-0,81;
2020-01-21 11:42;-0,93;
2019-09-17 06:36;-1,18;
2019-07-22 11:15;-1,02;
2019-06-03 10:08;-1,07;
2019-03-20 12:59;-0,86;
2019-01-28 11:47;-0,91;
2018-12-05 10:04;-1,06;
2018-10-03 09:02;-1,02;
2018-07-17 09:38;-1,43;
2018-05-15 11:08;-1,14;
2018-03-29 08:49;-0,93;
2018-01-24 11:29;-0,80;
2017-11-14 11:04;-0,94;
2017-09-26 09:48;-0,86;
2017-08-11 10:05;-1,07;
2017-06-22 09:52;-1,11;
2017-03-22 11:21;-0,81;
2017-02-02 11:13;-0,87;
2016-10-04 10:26;-1,03;
2016-08-10 07:59;-0,92;
2016-06-10 08:35;-0,92;
2016-04-06 09:41;-0,81;
2016-01-28 13:25;-0,74;
2015-12-07 09:58;-0,71;
2015-07-16 09:26;-1,16;
2015-06-09 07:23;-1,03;
2015-03-12 09:48;-0,88;
2015-01-28 11:57;-0,77;
2014-11-06 09:41;-0,92;
2014-09-10 11:29;-0,87;
2014-07-02 08:16;-1,08;
2014-05-07 10:28;-0,84;
2014-03-17 11:47;-0,88;
2014-01-15 10:49;-0,76;
2013-10-29 12:47;-0,82;
2013-07-15 08:06;-0,99;
2013-04-18 07:07;-0,96;
2013-02-20 13:02;-0,76;
2012-09-25 10:13;-0,68;
2012-07-18 10:10;-0,64;
2012-05-21 10:07;-1,05;
2012-04-02 09:14;-0,81;
2012-01-18 10:25;-0,73;
2011-11-23 10:37;-1,00;
2011-09-19 07:45;-0,81;
2011-08-16 08:27;-0,87;
2011-07-06 09:22;-1,01;
2011-05-25 05:53;-1,11;
2011-03-07 10:47;-0,84;
2011-01-04 11:02;-0,81;
2010-11-16 10:36;-0,60;
2010-10-27 10:19;-0,62;
2010-06-29 09:43;-1,03;
2010-06-08 07:43;-0,93;
2009-12-10 12:52;-0,74;
2009-10-08 09:03;-1,19;
2009-08-26 07:52;-1,31;
2009-05-28 09:40;-0,82;
2009-04-14 08:08;-0,85;
2009-02-09 10:25;-0,80;
2008-09-16 12:00;-0,84;
2008-05-22 12:00;-0,90;
2007-12-06 12:00;-0,84;
2007-08-20 12:00;-0,83;
2007-06-01 12:00;-0,90;
2007-04-18 12:00;-0,89;
2007-02-26 12:00;-0,71;
2007-01-22 12:00;-0,68;
2006-12-04 12:00;-0,73;
2006-11-05 12:00;-0,65;
2006-10-30 12:00;-0,73;
2006-09-22 12:00;-0,79;
2006-08-17 12:00;-0,65;
2006-06-29 12:00;-0,97;
2006-06-09 12:00;-0,92;
2006-04-11 12:00;-0,83;
2006-02-24 12:00;-0,80;
2006-01-19 12:00;-0,79;
2005-12-19 12:00;-0,62;
2005-12-09 12:00;-0,74;
2005-06-29 12:00;-0,76;
2005-04-29 12:00;-0,55;
2005-03-23 12:00;-0,58;
2005-01-26 12:00;-0,63;
2004-12-08 12:00;-0,62;
2004-10-20 12:00;-0,55;
2004-09-10 12:00;-0,56;
2004-06-25 12:00;-0,80;
2004-05-03 12:00;-0,75;
2004-03-17 12:00;-0,75;
2004-03-15 12:00;-0,77;
2004-03-12 12:00;-0,70;
2004-03-10 12:00;-0,72;
2004-03-09 12:00;-0,72;
2004-03-08 12:00;-0,72;
2004-03-05 12:00;-0,68;
2004-03-03 12:00;-0,68;
2004-03-01 12:00;-0,67;
2004-02-27 12:00;-0,57;
2004-02-25 12:00;-0,61;
2004-02-23 12:00;-0,62;
2004-02-20 12:00;-0,54;
2004-02-13 12:00;-0,45;
2004-02-03 12:00;-0,44;
2004-01-29 12:00;-0,52;
2004-01-16 12:00;-0,43;
2003-12-24 12:00;-0,56;
2003-12-16 12:00;-0,66;
2003-12-11 12:00;-0,68;
2003-12-09 12:00;-0,69;
2003-11-19 12:00;-0,76;
2003-10-17 12:00;-0,81;
2003-08-28 12:00;-0,91;
2003-06-25 12:00;-0,80;
2003-04-25 12:00;-0,77;
2003-03-12 12:00;-0,72;
2003-01-29 12:00;-0,49;
2002-11-11 12:00;-0,47;
2002-09-23 12:00;-0,63;
2002-07-23 12:00;-0,61;
2002-05-29 12:00;-0,68;
2002-03-12 12:00;-0,47;
