D06694 Freatisch;
Grondwaterstand ophooglaag (ca. 0-4m -mv);;
Locatie;D06694;
Adres;De Ruijterkade nr 7 Nabij het Havengebouw;
Status;Actief;
Straathoogte;0,87;m + NAP
Bovenkant buis;0,78;m + NAP
Top filter;-1,86;m + NAP
Bodem filter;-2,86;m + NAP
Diameter filter;51;mm
x-coördinaat;121570;
y-coördinaat;488335;
;;
;;
datum;meting NAP;
2022-02-01 07:47;-0,07;
2021-12-08 08:16;0,15;
2021-09-27 10:13;-0,14;
2021-07-22 08:56;-0,27;
2021-05-17 09:17;0,04;
2021-03-26 07:50;0,00;
2021-01-21 12:13;0,16;
2020-11-11 08:50;-0,08;
2020-09-18 08:38;-0,13;
2020-07-14 09:03;0,04;
2020-05-08 09:54;-0,07;
2020-03-18 12:46;-0,01;
2020-02-06 10:56;-0,03;
2019-11-21 08:22;0,02;
2019-09-23 06:08;-0,11;
2019-08-06 08:17;-0,03;
2019-06-07 06:09;0,07;
2019-03-21 12:22;0,01;
2019-01-29 11:13;0,10;
2018-12-05 11:11;-0,16;
2018-10-04 12:33;-0,07;
2016-08-17 07:41;-0,16;
2016-04-18 07:03;-0,19;
2016-02-04 11:10;-0,09;
2015-12-09 11:02;-0,13;
2015-09-17 08:11;-0,07;
2015-05-21 06:46;-0,20;
2015-03-19 11:51;-0,23;
2014-11-07 11:56;-0,19;
2014-09-12 06:16;-0,20;
2014-07-04 08:37;-0,24;
2014-05-20 11:47;-0,21;
2014-03-19 09:29;-0,19;
2014-01-09 14:46;-0,04;
2013-11-18 09:45;-0,09;
2013-09-19 06:44;-0,03;
2013-07-12 06:03;-0,20;
2013-05-22 09:13;0,11;
2013-04-16 07:53;-0,18;
2013-03-07 08:04;-0,19;
2012-11-28 08:04;-1,13;
2012-07-23 07:21;-0,10;
2012-06-13 07:18;-0,17;
2012-05-07 06:40;-0,20;
2012-03-27 11:05;-0,25;
2012-02-17 08:46;-0,17;
2011-11-30 08:28;-0,26;
2011-09-23 05:12;-0,15;
2011-07-28 05:50;-0,06;
2011-06-20 06:11;-0,06;
2011-05-09 08:12;-0,25;
2011-03-14 08:10;-0,22;
2011-01-27 13:27;-0,16;
2010-10-22 08:12;-0,01;
2010-09-27 06:54;-0,16;
2010-07-13 07:48;-0,21;
2010-05-21 07:04;-0,24;
2010-01-19 10:00;-0,13;
2009-04-16 06:03;-0,18;
2009-03-04 11:44;-0,13;
2009-01-22 09:44;-0,10;
2008-11-03 12:00;-0,15;
2008-09-17 12:00;-0,14;
2008-08-21 12:00;-0,18;
2008-07-08 12:00;-0,24;
2008-04-23 12:00;-0,26;
2008-03-04 12:00;-0,22;
2008-01-22 12:00;0,01;
2007-11-30 12:00;-0,22;
2007-10-05 12:00;-0,20;
2007-07-18 12:00;-0,07;
2007-06-07 12:00;-0,16;
2007-04-16 12:00;-0,21;
2007-03-07 12:00;0,06;
2007-01-22 12:00;-0,04;
2006-12-28 12:00;-0,19;
2006-11-07 12:00;-0,17;
2006-10-04 12:00;-0,12;
2006-08-09 12:00;-0,22;
2006-06-28 12:00;-0,21;
2006-04-19 12:00;-0,17;
2006-01-19 12:00;-0,29;
2005-12-19 00:00;-0,17;
